Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Shrek 2,"$928,760,770","$441,226,247",52.5%,"$487,534,523"
2,Harry Potter and the Prisoner of Azkaban,"$795,634,069","$249,541,069",68.6%,"$546,093,000"
3,Spider-Man 2,"$788,618,317","$373,585,825",52.6%,"$415,032,492"
4,The Incredibles,"$631,442,092","$261,441,092",58.6%,"$370,001,000"
5,The Passion of the Christ,"$611,486,736","$370,274,604",39.4%,"$241,212,132"
6,The Day After Tomorrow,"$552,639,571","$186,740,799",66.2%,"$365,898,772"
7,Meet the Fockers,"$522,657,936","$279,261,160",46.6%,"$243,396,776"
8,Troy,"$497,409,852","$133,378,256",73.2%,"$364,031,596"
9,Shark Tale,"$374,583,879","$160,861,908",57.1%,"$213,721,971"
10,Ocean's Twelve,"$362,744,280","$125,544,280",65.4%,"$237,200,000"
11,"I, Robot","$353,133,898","$144,801,023",59%,"$208,332,875"
12,National Treasure,"$347,512,318","$173,008,894",50.2%,"$174,503,424"
13,Van Helsing,"$300,157,638","$120,177,084",60%,"$179,980,554"
14,The Bourne Supremacy,"$290,633,422","$176,241,941",39.4%,"$114,391,481"
15,The Polar Express,"$286,000,505","$162,775,358",43.1%,"$123,225,147"
16,Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",84.8%,"$224,900,703"
17,Howl's Moving Castle,"$235,347,345","$4,711,096",98%,"$230,636,249"
18,Fahrenheit 9/11,"$222,446,882","$119,194,771",46.4%,"$103,252,111"
19,Collateral,"$220,239,925","$101,005,703",54.1%,"$119,234,222"
20,The Terminal,"$218,685,607","$77,872,883",64.4%,"$140,812,724"
21,Million Dollar Baby,"$216,763,646","$100,492,203",53.6%,"$116,271,443"
22,The Aviator,"$213,719,942","$102,610,330",52%,"$111,109,612"
23,A Series of Unfortunate Events,"$211,468,235","$118,634,549",43.9%,"$92,833,686"
24,King Arthur,"$203,567,857","$51,882,244",74.5%,"$151,685,613"
25,Garfield,"$203,172,417","$75,369,589",62.9%,"$127,802,828"
26,50 First Dates,"$198,413,428","$120,908,074",39.1%,"$77,505,354"
27,The Grudge,"$187,281,115","$110,359,362",41.1%,"$76,921,753"
28,Scooby-Doo 2: Monsters Unleashed,"$181,216,833","$84,216,833",53.5%,"$97,000,000"
29,Along Came Polly,"$178,311,729","$88,097,164",50.6%,"$90,214,565"
30,Alien vs. Predator,"$177,427,090","$80,282,231",54.8%,"$97,144,859"
