Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Battle at Lake Changjin,"$882,000,000 ",-,100%,"$882,000,000 "
2,"Hi, Mom","$822,009,764 ",-,100%,"$822,009,764 "
3,F9: The Fast Saga,"$721,077,945 ","$173,005,945 ",76%,"$548,072,000 "
4,No Time to Die,"$709,226,208 ","$151,207,208 ",78.70%,"$558,019,000 "
5,Detective Chinatown 3,"$686,257,563 ",-,100%,"$686,257,563 "
6,Godzilla vs. Kong,"$467,863,133 ","$100,563,133 ",78.50%,"$367,300,000 "
7,Venom: Let There Be Carnage,"$441,980,633 ","$203,180,633 ",54%,"$238,800,000 "
8,Shang-Chi and the Legend of the Ten Rings,"$430,502,658 ","$224,420,978 ",47.90%,"$206,081,680 "
9,Black Widow,"$379,631,351 ","$183,651,655 ",51.60%,"$195,979,696 "
10,Dune,"$353,778,872 ","$94,178,872 ",73.40%,"$259,600,000 "
11,Free Guy,"$331,367,291 ","$121,576,350 ",63.30%,"$209,790,941 "
12,A Quiet Place Part II,"$297,713,818 ","$160,072,261 ",46.20%,"$137,641,557 "
13,Eternals,"$284,599,242 ","$121,999,242 ",57.10%,"$162,600,000 "
14,Cruella,"$233,274,812 ","$86,103,234 ",63.10%,"$147,171,578 "
15,"My Country, My Parents","$221,675,153 ","$144,129 ",99.90%,"$221,531,024 "
16,Jungle Cruise,"$213,797,672 ","$116,977,077 ",45.30%,"$96,820,595 "
17,Raging Fire,"$205,832,772 ","$385,305 ",99.80%,"$205,447,467 "
18,The Conjuring: The Devil Made Me Do It,"$201,965,074 ","$65,565,074 ",67.50%,"$136,400,000 "
19,Chinese Doctors,"$197,143,218 ",-,100%,"$197,143,218 "
20,Cliff Walkers,"$181,325,565 ","$152,972 ",99.90%,"$181,172,593 "
21,The Suicide Squad,"$167,400,219 ","$55,800,219 ",66.70%,"$111,600,000 "
22,Space Jam: A New Legacy,"$162,828,072 ","$70,528,072 ",56.70%,"$92,300,000 "
23,Peter Rabbit 2: The Runaway,"$153,736,536 ","$40,336,536 ",73.80%,"$113,400,000 "
24,A Writer's Odyssey,"$150,123,320 ","$160,013 ",99.90%,"$149,963,307 "
25,Tom and Jerry,"$132,841,123 ","$46,041,123 ",65.30%,"$86,800,000 "
26,Halloween Kills,"$130,494,650 ","$91,572,650 ",29.80%,"$38,922,000 "
27,Raya and the Last Dragon,"$130,281,158 ","$54,723,032 ",58%,"$75,558,126 "
28,PAW Patrol: The Movie,"$130,127,371 ","$40,127,371 ",69.20%,"$90,000,000 "
29,Sister,"$128,317,206 ",-,100%,"$128,317,206 "
30,The Boss Baby: Family Business,"$128,141,280 ","$57,300,280 ",55.30%,"$70,841,000 "
31,My Love,"$114,016,434 ","$86,252 ",99.90%,"$113,930,182 "
32,The Addams Family 2,"$110,772,889 ","$56,085,889 ",49.40%,"$54,687,000 "
33,Wrath of Man,"$103,966,489 ","$27,466,489 ",73.60%,"$76,500,000 "
34,Detective Conan: The Scarlet Bullet,"$95,659,979 ",-,100%,"$95,659,979 "
35,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218 ",-,100%,"$92,246,218 "
36,End Game,"$91,815,762 ","$23,149 ",100%,"$91,792,613 "
37,Old,"$90,112,510 ","$48,242,510 ",46.50%,"$41,870,000 "
38,Mortal Kombat,"$83,601,013 ","$42,201,013 ",49.50%,"$41,400,000 "
39,Boonie Bears: The Wild Life,"$77,864,685 ",-,100%,"$77,864,685 "
40,Candyman,"$77,411,570 ","$61,186,570 ",21%,"$16,225,000 "
41,The Forever Purge,"$76,994,245 ","$44,539,245 ",42.20%,"$32,455,000 "
42,1921,"$75,159,828 ",-,100%,"$75,159,828 "
43,Hitman's Wife's Bodyguard,"$70,341,313 ","$38,014,727 ",46%,"$32,326,586 "
44,Cloudy Mountain,"$58,232,750 ",-,100%,"$58,232,750 "
45,Belle,"$57,689,510 ",-,100%,"$57,689,510 "
46,Avatar 2021 Re-release,"$57,566,409 ",-,100%,"$57,566,409 "
47,Nezha Reborn,"$56,088,478 ",-,100%,"$56,088,478 "
48,Nobody,"$55,405,035 ","$27,268,035 ",50.80%,"$28,137,000 "
49,Upcoming,"$54,300,000 ",-,100%,"$54,300,000 "
50,Ron's Gone Wrong,"$53,808,840 ","$21,008,840 ",61%,"$32,800,000 "
51,Man in Love,"$52,946,097 ",-,100%,"$52,946,097 "
52,Break Through the Darkness,"$52,700,000 ",-,100%,"$52,700,000 "
53,Escape Room: Tournament of Champions,"$51,788,958 ","$25,188,958 ",51.40%,"$26,600,000 "
54,Luca,"$49,553,709 ",-,100%,"$49,553,709 "
55,Don't Breathe 2,"$47,238,038 ","$32,638,038 ",30.90%,"$14,600,000 "
56,Love Will Tear Us Apart,"$44,972,521 ",-,100%,"$44,972,521 "
57,In the Heights,"$43,879,041 ","$29,879,041 ",31.90%,"$14,000,000 "
58,Spirit Untamed,"$42,636,215 ","$17,635,215 ",58.60%,"$25,001,000 "
59,Spiral,"$40,618,920 ","$23,216,862 ",42.80%,"$17,402,058 "
60,Snake Eyes,"$40,064,325 ","$28,264,325 ",29.50%,"$11,800,000 "
61,My Hero Academia: World Heroes' Mission,"$39,915,934 ","$9,767,647 ",75.50%,"$30,148,287 "
