Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Harry Potter and the Goblet of Fire,"$895,921,036","$290,013,036",67.6%,"$605,908,000"
2,Star Wars: Episode III - Revenge of the Sith,"$868,352,530","$380,270,577",56.2%,"$488,081,953"
3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957",60.8%,"$453,302,158"
4,War of the Worlds,"$603,873,119","$234,280,354",61.2%,"$369,592,765"
5,King Kong,"$556,906,378","$218,080,025",60.8%,"$338,826,353"
6,Madagascar,"$542,063,846","$193,595,521",64.3%,"$348,468,325"
7,Mr. & Mrs. Smith,"$487,287,646","$186,336,279",61.8%,"$300,951,367"
8,Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",56.5%,"$268,509,687"
9,Batman Begins,"$371,853,783","$205,343,774",44.8%,"$166,510,009"
10,Hitch,"$371,594,210","$179,495,555",51.7%,"$192,098,655"
11,Fantastic Four,"$333,535,934","$154,696,080",53.6%,"$178,839,854"
12,Chicken Little,"$314,432,837","$135,386,665",56.9%,"$179,046,172"
13,Wedding Crashers,"$288,467,645","$209,255,921",27.5%,"$79,211,724"
14,Robots,"$262,511,490","$128,200,012",51.2%,"$134,311,478"
15,Constantine,"$230,884,728","$75,976,178",67.1%,"$154,908,550"
16,Flightplan,"$223,387,299","$89,707,299",59.8%,"$133,680,000"
17,Kingdom of Heaven,"$218,122,627","$47,398,413",78.3%,"$170,724,214"
18,Fun with Dick and Jane,"$204,681,899","$110,332,737",46.1%,"$94,349,162"
19,The Pacifier,"$198,636,868","$113,086,868",43.1%,"$85,550,000"
20,Wallace & Gromit: The Curse of the Were-Rabbit,"$194,111,171","$56,110,897",71.1%,"$138,000,274"
21,The Longest Yard,"$191,466,556","$158,119,460",17.4%,"$33,347,096"
22,Walk the Line,"$186,797,986","$119,519,402",36%,"$67,278,584"
23,Brokeback Mountain,"$178,062,759","$83,043,761",53.4%,"$95,018,998"
24,The 40-Year-Old Virgin,"$177,378,645","$109,449,237",38.3%,"$67,929,408"
25,The Ring Two,"$163,995,949","$76,231,249",53.5%,"$87,764,700"
26,The Island,"$162,949,164","$35,818,913",78%,"$127,130,251"
27,The Interpreter,"$162,944,923","$72,708,161",55.4%,"$90,236,762"
28,Memoirs of a Geisha,"$162,242,962","$57,490,508",64.6%,"$104,752,454"
29,Sin City,"$158,733,820","$74,103,820",53.3%,"$84,630,000"
30,Monster-in-Law,"$155,457,327","$82,931,301",46.7%,"$72,526,026"
31,Saw II,"$147,748,505","$87,039,965",41.1%,"$60,708,540"
32,The Exorcism of Emily Rose,"$145,166,804","$75,072,454",48.3%,"$70,094,350"
33,Herbie Fully Loaded,"$144,146,816","$66,023,816",54.2%,"$78,123,000"
34,The Legend of Zorro,"$142,400,065","$46,464,023",67.4%,"$95,936,042"
35,Bewitched,"$131,426,169","$63,313,159",51.8%,"$68,113,010"
36,Munich,"$130,982,129","$47,403,685",63.8%,"$83,578,444"
37,Cheaper by the Dozen 2,"$130,154,568","$82,571,173",36.6%,"$47,583,395"
38,March of the Penguins,"$127,392,693","$77,437,223",39.2%,"$49,955,470"
39,Nanny McPhee,"$123,276,807","$47,144,110",61.8%,"$76,132,697"
40,Hide and Seek,"$123,204,920","$51,100,486",58.5%,"$72,104,434"
41,Pride & Prejudice,"$121,616,555","$38,405,088",68.4%,"$83,211,467"
42,Sahara,"$119,240,351","$68,671,925",42.4%,"$50,568,426"
43,Corpse Bride,"$118,090,836","$53,359,111",54.8%,"$64,731,725"
44,The Dukes of Hazzard,"$111,069,515","$80,270,227",27.7%,"$30,799,288"
45,Hoodwinked,"$110,013,167","$51,386,611",53.3%,"$58,626,556"
46,Cinderella Man,"$108,539,911","$61,649,911",43.2%,"$46,890,000"
47,The Amityville Horror,"$107,516,369","$65,233,369",39.3%,"$42,283,000"
48,The Brothers Grimm,"$105,316,267","$37,916,267",64%,"$67,400,000"
49,The Hitchhiker's Guide to the Galaxy,"$104,478,416","$51,085,416",51.1%,"$53,393,000"
50,Guess Who,"$103,121,466","$68,915,888",33.2%,"$34,205,578"
51,Just Like Heaven,"$102,854,431","$48,318,130",53%,"$54,536,301"
52,Miss Congeniality 2: Armed & Fabulous,"$101,393,569","$48,478,006",52.2%,"$52,915,563"
53,Crash,"$98,410,061","$54,580,300",44.5%,"$43,829,761"
54,Are We There Yet?,"$97,918,663","$82,674,398",15.6%,"$15,244,265"
55,Jarhead,"$97,076,152","$62,658,220",35.5%,"$34,417,932"
56,Red Eye,"$96,258,201","$57,891,803",39.9%,"$38,366,398"
57,Be Cool,"$95,763,716","$56,046,979",41.5%,"$39,716,737"
58,The Skeleton Key,"$93,983,911","$47,907,715",49%,"$46,076,196"
59,Syriana,"$93,974,620","$50,824,620",45.9%,"$43,150,000"
60,The Family Stone,"$92,884,429","$60,062,868",35.3%,"$32,821,561"
61,Four Brothers,"$92,374,674","$74,494,381",19.4%,"$17,880,293"
62,White Noise,"$91,196,419","$56,386,759",38.2%,"$34,809,660"
63,Racing Stripes,"$90,754,475","$49,772,522",45.2%,"$40,981,953"
64,Transporter 2,"$89,083,229","$43,095,856",51.6%,"$45,987,373"
65,Rumor Has It...,"$88,933,562","$43,000,262",51.6%,"$45,933,300"
66,Sky High,"$86,369,815","$63,946,815",26%,"$22,423,000"
67,Match Point,"$85,638,656","$23,151,529",73%,"$62,487,127"
68,In Her Shoes,"$83,697,473","$32,880,591",60.7%,"$50,816,882"
69,The Constant Gardener,"$82,466,670","$33,579,797",59.3%,"$48,886,873"
70,Stealth,"$79,268,322","$32,116,746",59.5%,"$47,151,576"
71,Hostage,"$77,608,617","$34,639,939",55.4%,"$42,968,678"
72,Coach Carter,"$76,669,554","$67,264,877",12.3%,"$9,404,677"
73,The King and the Clown,"$74,466,867",-,100%,"$74,466,867"
74,"Yours, Mine & Ours","$72,662,923","$53,412,862",26.5%,"$19,250,061"
75,Lord of War,"$72,617,068","$24,149,632",66.7%,"$48,467,436"
76,The Adventures of Sharkboy and Lavagirl 3-D,"$71,992,655","$39,177,684",45.6%,"$32,814,971"
77,xXx: State of the Union,"$71,022,693","$26,873,932",62.2%,"$44,148,761"
78,House of Wax,"$68,766,121","$32,064,800",53.4%,"$36,701,321"
79,Prime,"$67,937,494","$22,827,153",66.4%,"$45,110,341"
80,Boogeyman,"$67,192,859","$46,752,382",30.4%,"$20,440,477"
81,Zathura: A Space Adventure,"$65,079,104","$29,258,869",55%,"$35,820,235"
82,Valiant,"$61,746,888","$19,478,106",68.5%,"$42,268,782"
83,A History of Violence,"$61,385,065","$31,504,633",48.7%,"$29,880,432"
84,Son of the Mask,"$59,981,548","$17,018,422",71.6%,"$42,963,126"
85,Must Love Dogs,"$58,231,520","$43,894,863",24.6%,"$14,336,657"
86,Doom,"$58,072,119","$28,212,337",51.4%,"$29,859,782"
87,Derailed,"$57,479,076","$36,024,076",37.3%,"$21,455,000"
88,The Descent,"$57,051,053","$26,024,456",54.4%,"$31,026,597"
