Rank,Release Group,Worldwide,Domestic,%,Foreign
26,Battleship,"$303,025,485","$65,422,625",78.4%,"$237,602,860"
27,Wrath of the Titans,"$301,970,083","$83,670,083",72.3%,"$218,300,000"
28,John Carter,"$284,139,100","$73,078,100",74.3%,"$211,061,000"
29,The Bourne Legacy,"$276,144,750","$113,203,870",59%,"$162,940,880"
30,Lincoln,"$275,293,450","$182,207,973",33.8%,"$93,085,477"
31,We're the Millers,"$269,994,119","$150,394,119",44.3%,"$119,600,000"
32,Dark Shadows,"$245,527,149","$79,727,149",67.5%,"$165,800,000"
33,Resident Evil: Retribution,"$240,159,255","$42,345,531",82.4%,"$197,813,724"
34,Silver Linings Playbook,"$236,412,453","$132,092,958",44.1%,"$104,319,495"
35,American Reunion,"$234,989,584","$57,011,521",75.7%,"$177,978,063"
36,Argo,"$232,325,503","$136,025,503",41.5%,"$96,300,000"
37,Jack Reacher,"$218,340,595","$80,070,736",63.3%,"$138,269,859"
38,Safe House,"$208,076,205","$126,373,434",39.3%,"$81,702,771"
39,21 Jump Street,"$201,585,328","$138,447,667",31.3%,"$63,137,661"
40,Total Recall,"$198,467,168","$58,877,969",70.3%,"$139,589,199"
41,The Impossible,"$198,087,212","$19,019,882",90.4%,"$179,067,330"
42,Lost in Thailand,"$197,757,387","$57,387",100%,"$197,700,000"
43,The Vow,"$196,114,570","$125,014,030",36.3%,"$71,100,540"
44,Mirror Mirror,"$183,018,522","$64,935,167",64.5%,"$118,083,355"
45,The Dictator,"$179,379,533","$59,650,222",66.7%,"$119,729,311"
46,Looper,"$176,506,819","$66,486,205",62.3%,"$110,020,614"
47,Chinese Zodiac,"$170,525,083",-,100%,"$170,525,083"
48,Magic Mike,"$167,739,368","$113,721,571",32.2%,"$54,017,797"
49,Flight,"$161,772,375","$93,772,375",42%,"$68,000,000"
50,Underworld: Awakening,"$160,112,671","$62,321,039",61.1%,"$97,791,632"
51,This Means War,"$156,491,279","$54,760,791",65%,"$101,730,488"
52,Paranormal Activity 4,"$142,802,657","$53,885,000",62.3%,"$88,917,657"
53,Step Up Revolution,"$140,470,746","$35,074,677",75%,"$105,396,069"
54,The Best Exotic Marigold Hotel,"$136,836,156","$46,412,041",66.1%,"$90,424,115"
55,The Wind Rises,"$136,454,220","$5,209,580",96.2%,"$131,244,640"
56,Last Vegas,"$134,402,450","$63,914,167",52.4%,"$70,488,283"
57,Zero Dark Thirty,"$132,820,716","$95,720,716",27.9%,"$37,100,000"
58,Ghost Rider: Spirit of Vengeance,"$132,563,930","$51,774,002",60.9%,"$80,789,928"
59,Cloud Atlas,"$130,482,868","$27,108,272",79.2%,"$103,374,596"
60,The Woman in Black,"$128,955,898","$54,333,290",57.9%,"$74,622,608"
61,Chronicle,"$126,636,097","$64,575,175",49%,"$62,060,922"
62,Walking with Dinosaurs 3D,"$126,546,518","$36,076,121",71.5%,"$90,470,397"
63,The Pirates! Band of Misfits,"$123,054,041","$31,051,126",74.8%,"$92,002,915"
64,Parental Guidance,"$119,772,232","$77,267,296",35.5%,"$42,504,936"
65,Abraham Lincoln: Vampire Hunter,"$116,471,580","$37,519,139",67.8%,"$78,952,441"
66,Pitch Perfect,"$115,350,426","$65,001,093",43.6%,"$50,349,333"
67,Hope Springs,"$114,281,051","$63,536,011",44.4%,"$50,745,040"
68,ParaNorman,"$107,139,399","$56,003,051",47.7%,"$51,136,348"
69,The Campaign,"$104,907,746","$86,907,746",17.2%,"$18,000,000"
70,Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593","$43,456,382",57.7%,"$59,283,211"
71,Project X,"$102,731,865","$54,731,865",46.7%,"$48,000,000"
72,The Devil Inside,"$101,758,490","$53,261,944",47.7%,"$48,496,546"
73,The Lucky One,"$99,357,138","$60,457,138",39.2%,"$38,900,000"
74,Contraband,"$96,262,212","$66,528,000",30.9%,"$29,734,212"
75,Think Like a Man,"$96,070,507","$91,547,205",4.7%,"$4,523,302"
76,Masquerade,"$94,268,432","$922,921",99%,"$93,345,511"
77,Brave Hearts: Umizaru,"$91,884,352",-,100%,"$91,884,352"
78,This Is 40,"$88,215,156","$67,544,505",23.4%,"$20,670,651"
79,The Thieves,"$87,126,367","$685,839",99.2%,"$86,440,528"
80,The Possession,"$85,446,075","$49,130,154",42.5%,"$36,315,921"
81,What to Expect When You're Expecting,"$84,384,002","$41,152,203",51.2%,"$43,231,799"
82,Savages,"$82,966,152","$47,382,068",42.9%,"$35,584,084"
83,Sinister,"$82,515,113","$48,086,903",41.7%,"$34,428,210"
84,Act of Valor,"$82,497,035","$70,012,847",15.1%,"$12,484,188"
85,Frankenweenie,"$81,491,068","$35,291,068",56.7%,"$46,200,000"
86,The Grey,"$79,781,695","$51,580,236",35.3%,"$28,201,459"
87,Diary of a Wimpy Kid: Dog Days,"$77,229,695","$49,008,662",36.5%,"$28,221,033"
88,Thermae Romae,"$74,285,251",-,100%,"$74,285,251"
89,One Piece Film Z,"$74,223,861",-,100%,"$74,223,861"
90,To Rome with Love,"$73,244,881","$16,685,867",77.2%,"$56,559,014"
91,Here Comes the Boom,"$73,100,172","$45,290,318",38%,"$27,809,854"
92,Bayside Shakedown the Final,"$72,867,395",-,100%,"$72,867,395"
93,The Cabin in the Woods,"$69,935,600","$42,073,277",39.8%,"$27,862,323"
94,Finding Nemo 2012 3D Release,"$69,328,283","$41,128,283",40.7%,"$28,200,000"
95,Anna Karenina,"$68,929,150","$12,816,367",81.4%,"$56,112,783"
96,The Watch,"$68,267,862","$35,353,000",48.2%,"$32,914,862"
97,Moonrise Kingdom,"$68,263,166","$45,512,466",33.3%,"$22,750,700"
98,The Secret of the Gods,"$67,537,798",-,100%,"$67,537,798"
99,Madea's Witness Protection,"$66,899,242","$65,653,242",1.9%,"$1,246,000"
100,Beauty and the Beast 2012 3D Release,"$62,767,829","$47,617,067",24.1%,"$15,150,762"
101,Astérix and Obélix: God Save Britannia,"$61,319,383",-,100%,"$61,319,383"
102,Evangelion: 3.0 You Can (Not) Redo,"$60,488,344","$174,945",99.7%,"$60,313,399"
103,Quartet,"$59,520,298","$18,390,117",69.1%,"$41,130,181"
104,Rock of Ages,"$59,418,613","$38,518,613",35.2%,"$20,900,000"
105,That's My Boy,"$57,719,093","$36,931,089",36%,"$20,788,004"
106,The Odd Life of Timothy Green,"$56,012,642","$51,854,875",7.4%,"$4,157,767"
107,Lawless,"$55,404,159","$37,400,127",32.5%,"$18,004,032"
108,End of Watch,"$55,078,146","$41,003,371",25.6%,"$14,074,775"
109,Wolf Children,"$55,045,228",-,100%,"$55,045,228"
110,The Three Stooges,"$54,819,301","$44,338,224",19.1%,"$10,481,077"
111,The Five-Year Engagement,"$54,169,363","$28,835,528",46.8%,"$25,333,835"
112,Red Dawn,"$50,950,296","$44,806,783",12.1%,"$6,143,513"
113,Red Tails,"$50,365,498","$49,876,377",1%,"$489,121"
114,"Monsters, Inc. 2012 3D Release","$50,207,820","$34,043,006",32.2%,"$16,164,814"
115,HOUBA! On the Trail of the Marsupilami,"$50,146,474",-,100%,"$50,146,474"
116,Tad: The Lost Explorer,"$49,490,859",-,100%,"$49,490,859"
117,A Turtle's Tale 2: Sammy's Escape from Paradise,"$49,261,830",-,100%,"$49,261,830"
118,Trouble with the Curve,"$48,963,137","$35,763,137",27%,"$13,200,000"
119,Man on a Ledge,"$47,636,031","$18,620,000",60.9%,"$29,016,031"
120,A Werewolf Boy,"$46,282,588","$342,922",99.3%,"$45,939,666"
121,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,"$46,180,706",-,100%,"$46,180,706"
122,Gekijouban Tenpesuto 3D 2012 Re-release,"$46,008,255",-,100%,"$46,008,255"
123,Detective Conan: The Eleventh Striker,"$44,369,456",-,100%,"$44,369,456"
124,House at the End of the Street,"$44,287,131","$31,611,916",28.6%,"$12,675,215"
125,The Guilt Trip,"$41,863,726","$37,134,215",11.3%,"$4,729,511"
126,Safe,"$41,564,670","$17,142,080",58.8%,"$24,422,590"
127,Dredd,"$41,037,742","$13,414,714",67.3%,"$27,623,028"
128,La vérité si je mens! 3,"$40,928,635",-,100%,"$40,928,635"
129,Always: Sunset on Third Street '64,"$40,923,305",-,100%,"$40,923,305"
130,Chernobyl Diaries,"$38,390,020","$18,119,640",52.8%,"$20,270,380"
131,Killing Them Softly,"$37,930,465","$15,026,056",60.4%,"$22,904,409"
132,Rurouni Kenshin Part I: Origins,"$37,654,579",-,100%,"$37,654,579"
133,The Tower,"$36,512,327",-,100%,"$36,512,327"
134,Conquest 1453,"$35,797,045","$35,730",99.9%,"$35,761,315"
135,Good Deeds,"$35,579,177","$35,025,791",1.6%,"$553,386"
136,Arbitrage,"$35,485,056","$7,919,574",77.7%,"$27,565,482"
137,Welcome to the North,"$34,995,189",-,100%,"$34,995,189"
138,Chimpanzee,"$34,823,764","$28,972,764",16.8%,"$5,851,000"
139,Alex Cross,"$34,618,867","$25,888,412",25.2%,"$8,730,455"
140,Salmon Fishing in the Yemen,"$34,564,651","$9,047,981",73.8%,"$25,516,670"
141,Haywire,"$34,513,760","$18,942,396",45.1%,"$15,571,364"
142,Adventures in Zambezia,"$34,428,345",-,100%,"$34,428,345"
143,Cirque du Soleil: Worlds Away,"$34,153,101","$12,512,862",63.4%,"$21,640,239"
144,Three Heroes on Distant Shores,"$33,674,759",-,100%,"$33,674,759"
145,2016: Obama's America,"$33,449,086","$33,449,086",-,-
146,The Perks of Being a Wallflower,"$33,384,127","$17,742,948",46.9%,"$15,641,179"
147,Lockout,"$32,948,113","$14,326,864",56.5%,"$18,621,249"
148,Bait,"$32,813,407",-,100%,"$32,813,407"
149,Part of Me,"$32,726,956","$25,326,071",22.6%,"$7,400,885"
150,Nameless Gangster: Rules of the Time,"$32,472,645",-,100%,"$32,472,645"
151,Movie 43,"$32,438,988","$8,840,453",72.7%,"$23,598,535"
152,Seven Psychopaths,"$32,226,382","$15,024,049",53.4%,"$17,202,333"
153,The Floating Castle,"$31,967,471",-,100%,"$31,967,471"
154,The Neighbors,"$31,949,315",-,100%,"$31,949,315"
155,The Dream Team,"$31,822,402",-,100%,"$31,822,402"
156,What's in a Name?,"$31,303,580","$8,111",100%,"$31,295,469"
157,Joyful Noise,"$31,158,113","$30,932,113",0.7%,"$226,000"
158,Premium Rush,"$31,083,599","$20,275,446",34.8%,"$10,808,153"
159,Playing for Keeps,"$30,962,335","$13,103,272",57.7%,"$17,859,063"
160,The Four,"$30,505,808",-,100%,"$30,505,808"
161,The Grand Heist,"$30,158,762",-,100%,"$30,158,762"
162,The Raven,"$29,699,345","$16,008,272",46.1%,"$13,691,073"
163,Amour,"$29,652,180","$6,739,492",77.3%,"$22,912,688"
164,All About My Wife,"$29,382,038",-,100%,"$29,382,038"
165,Rowdy Rathore,"$29,342,463","$777,373",97.4%,"$28,565,090"
166,SPEC: Heaven,"$29,023,960",-,100%,"$29,023,960"
167,We Were There: True Love,"$28,876,929",-,100%,"$28,876,929"
168,Bol Bachchan,"$28,775,262","$1,216,258",95.8%,"$27,559,004"
169,Deranged,"$28,444,173",-,100%,"$28,444,173"
170,The Master,"$28,258,060","$16,377,274",42%,"$11,880,786"
171,Hitchcock,"$27,039,669","$6,008,677",77.8%,"$21,030,992"
172,Dearest,"$26,723,916",-,100%,"$26,723,916"
173,Architecture 101,"$26,642,354",-,100%,"$26,642,354"
174,Dancing Queen,"$26,411,266",-,100%,"$26,411,266"
175,Lesson of the Evil,"$26,167,224",-,100%,"$26,167,224"
176,Agneepath,"$26,001,696","$1,986,748",92.4%,"$24,014,948"
177,Rust and Bone,"$25,807,712","$2,062,027",92%,"$23,745,685"
178,Head Over Heels 2,"$25,402,893",-,100%,"$25,402,893"
179,On the Other Side of the Tracks,"$25,109,572","$9,572",100%,"$25,100,000"
180,Herutâ sukerutâ,"$25,066,699",-,100%,"$25,066,699"
181,The Last Tycoon,"$25,009,914",-,100%,"$25,009,914"
182,Housefull 2,"$24,922,847","$1,791,780",92.8%,"$23,131,067"
183,Big Miracle,"$24,719,215","$20,157,300",18.5%,"$4,561,915"
184,Sparkle,"$24,637,800","$24,397,469",1%,"$240,331"
185,The Players,"$24,629,152","$10,854",100%,"$24,618,298"
186,Liar Game: Reborn,"$24,549,726",-,100%,"$24,549,726"
187,I Want You,"$23,961,214",-,100%,"$23,961,214"
188,Türkisch für Anfänger,"$23,952,712",-,100%,"$23,952,712"
189,Wanderlust,"$23,812,816","$17,450,535",26.7%,"$6,362,281"
190,"Little Brother, Big Trouble: A Christmas Adventure","$23,785,681",-,100%,"$23,785,681"
191,To the Arctic 3D,"$23,695,388","$14,560,838",38.5%,"$9,134,550"
192,Hotaru the Movie: It's Only a Little Light in My Life,"$22,975,341",-,100%,"$22,975,341"
193,Kon-Tiki,"$22,842,887","$1,517,410",93.4%,"$21,325,477"
194,Fall in Love Like a Star,"$22,640,355",-,100%,"$22,640,355"
195,Upside Down,"$22,187,813","$105,095",99.5%,"$22,082,718"
196,Unbowed,"$22,132,903",-,100%,"$22,132,903"
197,Confession of Murder,"$21,701,525",-,100%,"$21,701,525"
198,StreetDance 2 2012 Re-release,"$21,638,853",-,100%,"$21,638,853"
199,2012 2012 Re-release,"$21,538,353",-,100%,"$21,538,353"
200,Beasts of the Southern Wild,"$21,107,746","$12,795,746",39.4%,"$8,312,000"
