Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Avengers,"$1,518,812,988","$623,357,910",59%,"$895,455,078"
2,Skyfall,"$1,108,561,013","$304,360,277",72.5%,"$804,200,736"
3,The Dark Knight Rises,"$1,081,041,287","$448,139,099",58.5%,"$632,902,188"
4,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",70.2%,"$714,000,000"
5,Ice Age: Continental Drift,"$877,244,782","$161,321,843",81.6%,"$715,922,939"
6,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",64.8%,"$537,422,083"
7,The Amazing Spider-Man,"$757,930,663","$262,030,663",65.4%,"$495,900,000"
8,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",71%,"$530,529,792"
9,The Hunger Games,"$694,394,724","$408,010,692",41.2%,"$286,384,032"
10,Men in Black 3,"$624,026,776","$179,020,854",71.3%,"$445,005,922"
11,Life of Pi,"$609,016,565","$124,987,023",79.5%,"$484,029,542"
12,Ted,"$549,368,315","$218,815,487",60.2%,"$330,552,828"
13,Brave,"$538,983,207","$237,283,207",56%,"$301,700,000"
14,Wreck-It Ralph,"$471,222,889","$189,422,889",59.8%,"$281,800,000"
15,Les Misérables,"$442,299,309","$148,809,770",66.4%,"$293,489,539"
16,Django Unchained,"$425,368,238","$162,805,434",61.7%,"$262,562,804"
17,Prometheus,"$403,354,469","$126,477,084",68.6%,"$276,877,385"
18,Snow White and the Huntsman,"$396,592,829","$155,332,381",60.8%,"$241,260,448"
19,Taken 2,"$376,141,306","$139,854,287",62.8%,"$236,287,019"
20,Hotel Transylvania,"$358,375,603","$148,313,048",58.6%,"$210,062,555"
21,Titanic 2012 3D Release,"$350,449,521","$57,884,114",83.5%,"$292,565,407"
22,The Lorax,"$348,840,316","$214,030,500",38.6%,"$134,809,816"
23,Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",69%,"$231,400,000"
24,The Expendables 2,"$314,975,955","$85,028,192",73%,"$229,947,763"
25,Rise of the Guardians,"$306,941,670","$103,412,758",66.3%,"$203,528,912"
