Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Lord of the Rings: The Return of the King,"$1,140,682,011","$377,027,325",66.9%,"$763,654,686"
2,Finding Nemo,"$871,014,978","$339,714,978",61%,"$531,300,000"
3,The Matrix Reloaded,"$739,412,035","$281,576,461",61.9%,"$457,835,574"
4,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",53.3%,"$348,850,097"
5,Bruce Almighty,"$484,592,874","$242,829,261",49.9%,"$241,763,613"
6,The Last Samurai,"$454,627,263","$111,127,263",75.6%,"$343,500,000"
7,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",65.3%,"$283,000,000"
8,The Matrix Revolutions,"$427,343,298","$139,313,948",67.4%,"$288,029,350"
9,X2: X-Men United,"$407,711,549","$214,949,694",47.3%,"$192,761,855"
10,Bad Boys II,"$273,339,556","$138,608,444",49.3%,"$134,731,112"
11,Something's Gotta Give,"$265,328,738","$124,728,738",53%,"$140,600,000"
12,Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",61.1%,"$158,345,677"
13,The Village,"$256,697,520","$114,197,520",55.5%,"$142,500,000"
14,Brother Bear,"$250,397,798","$85,336,277",65.9%,"$165,061,521"
15,Hulk,"$245,285,165","$132,177,234",46.1%,"$113,107,931"
16,Love Actually,"$244,931,766","$59,696,144",75.6%,"$185,235,622"
17,2 Fast 2 Furious,"$236,350,661","$127,154,901",46.2%,"$109,195,760"
18,American Wedding,"$232,722,935","$104,565,114",55.1%,"$128,157,821"
19,Scary Movie 3,"$220,673,217","$110,003,217",50.2%,"$110,670,000"
20,Elf,"$220,443,451","$173,398,518",21.3%,"$47,044,933"
21,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",55.6%,"$117,694,615"
22,S.W.A.T.,"$207,725,639","$116,934,650",43.7%,"$90,790,989"
23,Spy Kids 3-D: Game Over,"$197,011,982","$111,761,982",43.3%,"$85,250,000"
24,Anger Management,"$195,745,823","$135,645,823",30.7%,"$60,100,000"
25,Cheaper by the Dozen,"$190,212,113","$138,614,544",27.1%,"$51,597,569"
26,The Haunted Mansion,"$182,290,266","$75,847,266",58.4%,"$106,443,000"
27,Kill Bill: Vol. 1,"$180,899,045","$70,099,045",61.2%,"$110,800,000"
