Rank,Release Group,Worldwide,Domestic,%,Foreign
181,Dark Waters,"$23,108,017","$11,136,084",51.8%,"$11,971,933"
182,The Farewell,"$23,076,657","$17,695,781",23.3%,"$5,380,876"
183,The Knight of Shadows: Between Yin and Yang,"$22,774,256",-,100%,"$22,774,256"
184,Black and Blue,"$22,741,061","$22,055,313",3%,"$685,748"
185,Late Night,"$22,386,555","$15,499,454",30.8%,"$6,887,101"
186,Les Misérables,"$22,342,519","$330,181",98.5%,"$22,012,338"
187,A Rainy Day in New York,"$22,002,504",-,100%,"$22,002,504"
188,Crazy Romance,"$21,386,368",-,100%,"$21,386,368"
189,Shaft,"$21,360,215","$21,360,215",-,-
190,Unplanned,"$21,354,152","$19,005,109",11%,"$2,349,043"
191,Hotel Mumbai,"$21,314,816","$9,651,611",54.7%,"$11,663,205"
192,Integrity,"$21,290,004",-,100%,"$21,290,004"
193,The Secret Mission,"$21,083,522",-,100%,"$21,083,522"
194,This Is Tomas,"$20,084,169",-,100%,"$20,084,169"
195,The Specials,"$19,363,826",-,100%,"$19,363,826"
196,Always Miss You,"$19,015,465","$91,884",99.5%,"$18,923,581"
197,An Officer and a Spy,"$18,878,658",-,100%,"$18,878,658"
198,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,100%,"$18,738,951"
199,Greta,"$18,653,107","$10,532,219",43.5%,"$8,120,888"
200,Peppa Celebrates Chinese New Year,"$18,653,040","$131,225",99.3%,"$18,521,815"
