Rank,Release Group,Worldwide,Domestic,%,Foreign
29,The Santa Clause 2,"$172,855,065","$139,236,327",19.4%,"$33,618,738"
30,Mr. Deeds,"$171,269,535","$126,293,452",26.3%,"$44,976,083"
31,Stuart Little 2,"$169,956,806","$64,956,806",61.8%,"$105,000,000"
32,Blade II,"$155,010,032","$82,348,319",46.9%,"$72,661,713"
33,Maid in Manhattan,"$154,906,693","$94,011,225",39.3%,"$60,895,468"
34,About a Boy,"$130,549,455","$41,385,278",68.3%,"$89,164,177"
35,Space Station 3D,"$128,363,881","$93,383,953",27.3%,"$34,979,928"
36,The Time Machine,"$123,729,176","$56,832,494",54.1%,"$66,896,682"
37,Spirit: Stallion of the Cimarron,"$122,563,539","$73,280,117",40.2%,"$49,283,422"
38,The Pianist,"$120,072,577","$32,572,577",72.9%,"$87,500,000"
39,Spy Kids 2: Island of Lost Dreams,"$119,723,358","$85,846,429",28.3%,"$33,876,929"
40,Unfaithful,"$119,137,784","$52,775,765",55.7%,"$66,362,019"
41,Snow Dogs,"$115,035,090","$81,172,560",29.4%,"$33,862,530"
42,We Were Soldiers,"$114,660,784","$78,122,718",31.9%,"$36,538,066"
43,Insomnia,"$113,714,830","$67,355,513",40.8%,"$46,359,317"
44,Peter Pan 2: Return to Never Land,"$109,862,682","$48,430,258",55.9%,"$61,432,424"
45,Treasure Planet,"$109,578,115","$38,176,783",65.2%,"$71,401,332"
46,The Hours,"$108,846,072","$41,675,994",61.7%,"$67,170,078"
47,Asterix & Obelix: Mission Cleopatra,"$108,012,365",-,100%,"$108,012,365"
48,About Schmidt,"$105,834,556","$65,016,287",38.6%,"$40,818,269"
49,The Tuxedo,"$104,391,623","$50,547,998",51.6%,"$53,843,625"
50,Resident Evil,"$102,984,862","$40,119,709",61%,"$62,865,153"
51,John Q,"$102,244,770","$71,756,802",29.8%,"$30,487,968"
52,40 Days and 40 Nights,"$95,146,283","$37,950,822",60.1%,"$57,195,461"
53,Changing Lanes,"$94,935,764","$66,818,548",29.6%,"$28,117,216"
54,28 Days Later...,"$82,719,885","$45,064,915",45.5%,"$37,654,970"
55,Reign of Fire,"$82,150,183","$43,061,982",47.6%,"$39,088,201"
56,The Rookie,"$80,693,537","$75,600,072",6.3%,"$5,093,465"
57,Jackass: The Movie,"$79,493,831","$64,255,312",19.2%,"$15,238,519"
58,Collateral Damage,"$78,382,433","$40,077,257",48.9%,"$38,305,176"
59,Showtime,"$77,741,732","$38,082,712",51%,"$39,659,020"
60,Windtalkers,"$77,628,265","$40,914,068",47.3%,"$36,714,197"
61,Barbershop,"$77,063,924","$75,782,105",1.7%,"$1,281,819"
62,Bend It Like Beckham,"$76,583,333","$32,543,449",57.5%,"$44,039,884"
63,The Count of Monte Cristo,"$75,395,048","$54,234,062",28.1%,"$21,160,986"
64,Divine Secrets of the Ya-Ya Sisterhood,"$73,839,240","$69,599,016",5.7%,"$4,240,224"
65,E.T. the Extra-Terrestrial 20th Anniversary,"$69,177,751","$35,306,015",49%,"$33,871,736"
66,The Sweetest Thing,"$68,696,770","$24,718,164",64%,"$43,978,606"
67,Ghost Ship,"$68,349,884","$30,113,491",55.9%,"$38,236,393"
68,Star Trek: Nemesis,"$67,336,470","$43,254,409",35.8%,"$24,082,061"
69,Bad Company,"$65,977,295","$30,160,161",54.3%,"$35,817,134"
70,K-19: The Widowmaker,"$65,716,126","$35,168,966",46.5%,"$30,547,160"
71,High Crimes,"$63,781,810","$41,543,917",34.9%,"$22,237,893"
72,Like Mike,"$62,274,780","$51,432,760",17.4%,"$10,842,020"
73,Crossroads,"$61,141,030","$37,191,304",39.2%,"$23,949,726"
74,The Wild Thornberrys,"$60,694,737","$40,108,697",33.9%,"$20,586,040"
75,Bowling for Columbine,"$58,008,423","$21,576,018",62.8%,"$36,432,405"
76,Drumline,"$57,588,485","$56,399,184",2.1%,"$1,189,301"
77,Murder by Numbers,"$56,714,147","$31,945,749",43.7%,"$24,768,398"
78,Frida,"$56,298,474","$25,885,000",54%,"$30,413,474"
79,The Mothman Prophecies,"$55,157,539","$35,746,370",35.2%,"$19,411,169"
80,Analyze That,"$55,003,135","$32,130,627",41.6%,"$22,872,508"
81,The Hot Chick,"$54,639,553","$35,081,594",35.8%,"$19,557,959"
82,The Cat Returns,"$53,452,652",-,100%,"$53,452,652"
83,Big Fat Liar,"$52,970,014","$48,360,547",8.7%,"$4,609,467"
84,Dragonfly,"$52,323,400","$30,323,400",42%,"$22,000,000"
85,One Hour Photo,"$52,223,306","$31,597,131",39.5%,"$20,626,175"
86,Blue Crush,"$51,843,679","$40,390,647",22.1%,"$11,453,032"
87,Enough,"$51,806,184","$40,007,742",22.8%,"$11,798,442"
88,I Spy,"$51,386,477","$33,561,137",34.7%,"$17,825,340"
89,Talk to Her 2002 Re-release,"$51,001,550","$9,285,469",81.8%,"$41,716,081"
90,A Walk to Remember,"$47,494,916","$41,281,092",13.1%,"$6,213,824"
91,Eight Legged Freaks,"$45,867,333","$17,322,606",62.2%,"$28,544,727"
92,Queen of the Damned,"$45,479,110","$30,336,800",33.3%,"$15,142,310"
93,The Transporter,"$43,928,932","$25,296,447",42.4%,"$18,632,485"
94,The Master of Disguise,"$43,411,001","$40,388,794",7%,"$3,022,207"
95,Orange County,"$43,325,009","$41,076,018",5.2%,"$2,248,991"
96,8 Women,"$42,426,583","$3,098,776",92.7%,"$39,327,807"
97,Undercover Brother,"$41,604,473","$39,089,928",6%,"$2,514,545"
98,Pinocchio,"$41,314,585","$3,675,719",91.1%,"$37,638,866"
99,Clockstoppers,"$38,793,283","$36,989,956",4.6%,"$1,803,327"
100,Van Wilder,"$38,275,483","$21,305,259",44.3%,"$16,970,224"
101,The Banger Sisters,"$38,068,353","$30,307,416",20.4%,"$7,760,937"
102,Halloween: Resurrection,"$37,664,855","$30,354,442",19.4%,"$7,310,413"
103,Swimfan,"$34,411,240","$28,564,995",17%,"$5,846,245"
104,Darkness,"$33,988,736","$22,163,442",34.8%,"$11,825,294"
105,Friday After Next,"$33,526,835","$33,253,609",0.8%,"$273,226"
106,The Crocodile Hunter: Collision Course,"$33,082,548","$28,442,574",14%,"$4,639,974"
107,Confessions of a Dangerous Mind,"$33,013,805","$16,007,718",51.5%,"$17,006,087"
108,Adaptation.,"$32,801,173","$22,498,520",31.4%,"$10,302,653"
109,Hart's War,"$32,287,044","$19,077,641",40.9%,"$13,209,403"
110,Blood Work,"$31,794,718","$26,235,081",17.5%,"$5,559,637"
111,The New Guy,"$31,167,388","$29,760,152",4.5%,"$1,407,236"
112,City of God,"$30,641,770","$7,564,459",75.3%,"$23,077,311"
113,Solaris,"$30,002,758","$14,973,382",50.1%,"$15,029,376"
114,The Four Feathers,"$29,882,645","$18,306,166",38.7%,"$11,576,479"
115,City by the Sea,"$29,414,087","$22,449,000",23.7%,"$6,965,087"
116,Christmas on the Nile,"$29,320,869",-,100%,"$29,320,869"
117,Far from Heaven,"$29,027,914","$15,901,849",45.2%,"$13,126,065"
118,Family Honor,"$28,903,789",-,100%,"$28,903,789"
119,Brown Sugar,"$28,316,451","$27,363,891",3.4%,"$952,560"
120,The Spanish Apartment,"$28,193,749","$1,067,438",96.2%,"$27,126,311"
121,Pokemon 4Ever: Celebi - Voice of the Forest,"$28,023,563","$1,727,447",93.8%,"$26,296,116"
122,The Quiet American,"$27,674,124","$12,988,801",53.1%,"$14,685,323"
123,The Crime of Padre Amaro,"$26,996,738","$5,717,044",78.8%,"$21,279,694"
124,All About the Benjamins,"$26,306,533","$25,916,319",1.5%,"$390,214"
125,Rollerball,"$25,852,764","$18,990,798",26.5%,"$6,861,966"
126,Jonah: A VeggieTales Movie,"$25,615,231","$25,581,229",0.1%,"$34,002"
127,The Way Home,"$24,952,738","$445,367",98.2%,"$24,507,371"
128,Punch-Drunk Love,"$24,665,649","$17,844,216",27.7%,"$6,821,433"
129,The Guru,"$24,128,852","$3,095,506",87.2%,"$21,033,346"
130,Dark Water,"$24,010,000",-,100%,"$24,010,000"
131,25th Hour,"$23,928,503","$13,084,595",45.3%,"$10,843,908"
132,Sex Is Zero,"$23,915,279",-,100%,"$23,915,279"
133,Eight Crazy Nights,"$23,833,131","$23,586,598",1%,"$246,533"
134,Detective Conan: The Phantom of Baker Street,"$23,786,606",-,100%,"$23,786,606"
135,Antwone Fisher,"$23,367,586","$21,078,145",9.8%,"$2,289,441"
136,Ali G Indahouse,"$23,280,529",-,100%,"$23,280,529"
137,Super Troopers,"$23,182,223","$18,492,362",20.2%,"$4,689,861"
138,"The Legend of Al, John and Jack","$23,039,985",-,100%,"$23,039,985"
139,Phone,"$21,784,403",-,100%,"$21,784,403"
140,White Oleander,"$21,672,284","$16,357,770",24.5%,"$5,314,514"
141,Pokémon Heroes,"$20,867,919","$746,381",96.4%,"$20,121,538"
142,Serving Sara,"$20,146,150","$16,930,185",16%,"$3,215,965"
143,Asterix & Obelix: Mission Cleopatra 2002 Re-release,"$20,015,611","$3,115,188",84.4%,"$16,900,423"
144,Ballistic: Ecks vs. Sever,"$19,924,033","$14,307,963",28.2%,"$5,616,070"
145,S1m0ne,"$19,576,023","$9,688,676",50.5%,"$9,887,347"
146,The Lion King 2002 IMAX Release,"$19,486,215","$15,686,215",19.5%,"$3,800,000"
147,Tuck Everlasting,"$19,344,615","$19,161,999",0.9%,"$182,616"
148,Half Past Dead,"$19,233,280","$15,567,860",19.1%,"$3,665,420"
149,Martin Lawrence Live: Runteldat,"$19,184,820","$19,184,820",-,-
150,Feardotcom,"$18,902,015","$13,258,249",29.9%,"$5,643,766"
151,Empire,"$18,591,272","$17,600,423",5.3%,"$990,849"
152,The Country Bears,"$18,012,097","$16,990,825",5.7%,"$1,021,272"
153,Jail Breakers,"$17,797,711",-,100%,"$17,797,711"
154,The Last Kiss,"$17,720,347","$1,048,950",94.1%,"$16,671,397"
155,Frailty,"$17,423,030","$13,110,448",24.8%,"$4,312,582"
156,The Importance of Being Earnest,"$17,290,970","$8,384,929",51.5%,"$8,906,041"
157,Kung Pow: Enter the Fist,"$16,994,625","$16,037,962",5.6%,"$956,663"
158,Dead Weight,"$16,987,957",-,100%,"$16,987,957"
159,Life or Something Like It,"$16,872,671","$14,448,589",14.4%,"$2,424,082"
160,The Good Girl,"$16,856,124","$14,018,296",16.8%,"$2,837,828"
161,Femme Fatale,"$16,838,910","$6,630,252",60.6%,"$10,208,658"
162,They,"$16,446,271","$12,840,842",21.9%,"$3,605,429"
163,The Powerpuff Girls Movie,"$16,426,471","$11,412,414",30.5%,"$5,014,057"
164,The Magdalene Sisters,"$16,373,112","$306,989",98.1%,"$16,066,123"
165,The Emperor's Club,"$16,318,449","$14,118,751",13.5%,"$2,199,698"
166,Rabbit-Proof Fence,"$16,217,411","$6,199,600",61.8%,"$10,017,811"
167,Birthday Girl,"$16,171,098","$5,142,576",68.2%,"$11,028,522"
168,To Be and to Have,"$16,063,920","$777,129",95.2%,"$15,286,791"
169,Doraemon: Nobita and the Robot Kingdom,"$16,053,687",-,100%,"$16,053,687"
170,Public Enemy,"$15,897,574",-,100%,"$15,897,574"
171,Hey Arnold! the Movie,"$15,249,308","$13,728,902",10%,"$1,520,406"
172,Boat Trip,"$15,020,293","$8,600,126",42.7%,"$6,420,167"
173,Undisputed,"$14,946,150","$12,764,657",14.6%,"$2,181,493"
174,Possession,"$14,815,898","$10,113,733",31.7%,"$4,702,165"
175,Hollywood Ending,"$14,569,744","$4,850,753",66.7%,"$9,718,991"
176,Stealing Harvard,"$14,277,032","$14,036,406",1.7%,"$240,626"
177,Godzilla Against MechaGodzilla,"$14,122,958",-,100%,"$14,122,958"
178,Idiots,"$13,936,317",-,100%,"$13,936,317"
179,Dirty Pretty Things,"$13,904,766","$8,112,414",41.7%,"$5,792,352"
180,Juwanna Mann,"$13,802,599","$13,670,733",1%,"$131,866"
181,Trapped,"$13,414,416","$7,073,251",47.3%,"$6,341,165"
182,Toei Spring Anime Fair,"$13,107,237",-,100%,"$13,107,237"
183,Long Time Dead,"$13,102,295",-,100%,"$13,102,295"
184,Knockaround Guys,"$12,806,614","$11,715,637",8.5%,"$1,090,977"
185,Narc,"$12,633,747","$10,465,659",17.2%,"$2,168,088"
186,The Other Side of the Bed,"$12,630,208",-,100%,"$12,630,208"
187,Sorority Boys,"$12,517,488","$10,200,032",18.5%,"$2,317,456"
188,Nine Queens,"$12,413,888","$1,222,889",90.1%,"$11,190,999"
189,Abandon,"$12,302,219","$10,727,683",12.8%,"$1,574,536"
190,The Eye,"$12,165,016","$512,049",95.8%,"$11,652,967"
191,2009: Lost Memories,"$12,049,825",-,100%,"$12,049,825"
192,The Rules of Attraction,"$11,819,244","$6,532,619",44.7%,"$5,286,625"
193,Mohou-han,"$11,702,775",-,100%,"$11,702,775"
194,The Order,"$11,560,806","$7,660,806",33.7%,"$3,900,000"
195,Adrenaline Rush: The Science of Risk,"$11,011,932","$10,994,028",0.2%,"$17,904"
196,Extreme Ops,"$10,959,475","$4,842,259",55.8%,"$6,117,216"
197,Champion,"$10,569,737",-,100%,"$10,569,737"
198,Bibi Blocksberg,"$10,325,928",-,100%,"$10,325,928"
199,Kamen Rider Ryuki: Episode Final,"$10,112,538",-,100%,"$10,112,538"
200,Pulse: A Stomp Odyssey,"$10,086,514","$10,086,514",-,-
