Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Lord of the Rings: The Two Towers,"$936,689,735","$339,789,881",63.7%,"$596,899,854"
2,Harry Potter and the Chamber of Secrets,"$878,979,634","$261,988,482",70.2%,"$616,991,152"
3,Spider-Man,"$821,708,551","$403,706,375",50.9%,"$418,002,176"
4,Star Wars: Episode II - Attack of the Clones,"$645,256,452","$302,191,252",53.2%,"$343,065,200"
5,Men in Black II,"$441,818,803","$190,418,803",56.9%,"$251,400,000"
6,Die Another Day,"$431,971,116","$160,942,139",62.7%,"$271,028,977"
7,Signs,"$408,247,917","$227,966,634",44.2%,"$180,281,283"
8,Ice Age,"$383,257,136","$176,387,405",54%,"$206,869,731"
9,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",34.5%,"$127,305,836"
10,Minority Report,"$358,372,926","$132,072,926",63.1%,"$226,300,000"
11,Catch Me If You Can,"$352,114,312","$164,615,351",53.2%,"$187,498,961"
12,Chicago,"$306,776,732","$170,687,518",44.4%,"$136,089,214"
13,Austin Powers in Goldmember,"$296,938,801","$213,307,889",28.2%,"$83,630,912"
14,xXx,"$277,448,382","$142,109,382",48.8%,"$135,339,000"
15,Scooby-Doo,"$275,650,703","$153,294,164",44.4%,"$122,356,539"
16,Lilo & Stitch,"$273,144,151","$145,794,338",46.6%,"$127,349,813"
17,The Ring,"$249,348,933","$129,128,133",48.2%,"$120,220,800"
18,8 Mile,"$242,875,078","$116,750,901",51.9%,"$126,124,177"
19,The Bourne Identity,"$214,034,224","$121,661,683",43.2%,"$92,372,541"
20,Red Dragon,"$209,196,298","$93,149,898",55.5%,"$116,046,400"
21,Two Weeks Notice,"$199,043,242","$93,354,851",53.1%,"$105,688,391"
22,Panic Room,"$196,397,415","$96,397,334",50.9%,"$100,000,081"
23,The Sum of All Fears,"$193,921,372","$118,907,036",38.7%,"$75,014,336"
24,Gangs of New York,"$193,772,504","$77,812,000",59.8%,"$115,960,504"
25,Road to Perdition,"$181,001,478","$104,454,762",42.3%,"$76,546,716"
26,Sweet Home Alabama,"$180,622,424","$127,223,418",29.6%,"$53,399,006"
27,The Scorpion King,"$178,799,308","$91,047,077",49.1%,"$87,752,231"
28,Hero,"$177,395,557","$53,710,019",69.7%,"$123,685,538"
