Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Mission: Impossible II,"$546,388,108 ","$215,409,889 ",60.60%,"$330,978,219 "
2,Gladiator,"$460,583,960 ","$187,705,427 ",59.20%,"$272,878,533 "
3,Cast Away,"$429,632,142 ","$233,632,142 ",45.60%,"$196,000,000 "
4,What Women Want,"$374,111,707 ","$182,811,707 ",51.10%,"$191,300,000 "
5,Dinosaur,"$349,822,765 ","$137,748,063 ",60.60%,"$212,074,702 "
6,How the Grinch Stole Christmas,"$345,141,403 ","$260,044,825 ",24.70%,"$85,096,578 "
7,Meet the Parents,"$330,444,045 ","$166,244,045 ",49.70%,"$164,200,000 "
8,The Perfect Storm,"$328,718,434 ","$182,618,434 ",44.40%,"$146,100,000 "
9,X-Men,"$296,339,528 ","$157,299,718 ",46.90%,"$139,039,810 "
10,What Lies Beneath,"$291,420,351 ","$155,464,351 ",46.70%,"$135,956,000 "
11,Scary Movie,"$278,019,771 ","$157,019,771 ",43.50%,"$121,000,000 "
12,Charlie's Angels,"$264,105,545 ","$125,305,545 ",52.60%,"$138,800,000 "
13,Erin Brockovich,"$256,271,286 ","$125,595,205 ",51%,"$130,676,081 "
14,Unbreakable,"$248,118,121 ","$95,011,339 ",61.70%,"$153,106,782 "
15,Gone in 60 Seconds,"$237,202,299 ","$101,648,571 ",57.10%,"$135,553,728 "
16,Chicken Run,"$224,834,564 ","$106,834,564 ",52.50%,"$118,000,000 "
17,Vertical Limit,"$215,663,859 ","$69,243,859 ",67.90%,"$146,420,000 "
18,The Patriot,"$215,294,342 ","$113,330,342 ",47.40%,"$101,964,000 "
19,"Crouching Tiger, Hidden Dragon","$213,525,736 ","$128,078,872 ",40%,"$85,446,864 "
20,Miss Congeniality,"$212,742,720 ","$106,807,667 ",49.80%,"$105,935,053 "
21,Traffic,"$207,515,725 ","$124,115,725 ",40.20%,"$83,400,000 "
22,Hollow Man,"$190,213,455 ","$73,209,340 ",61.50%,"$117,004,115 "
23,102 Dalmatians,"$183,611,771 ","$66,957,026 ",63.50%,"$116,654,745 "
24,Big Momma's House,"$173,959,438 ","$117,559,438 ",32.40%,"$56,400,000 "
25,The Emperor's New Groove,"$169,327,687 ","$89,302,687 ",47.30%,"$80,025,000 "
26,Nutty Professor II: The Klumps,"$166,339,890 ","$123,309,890 ",25.90%,"$43,030,000 "
27,Scream 3,"$161,834,276 ","$89,143,175 ",44.90%,"$72,691,101 "
28,Chocolat,"$152,699,946 ","$71,509,363 ",53.20%,"$81,190,583 "
29,"Me, Myself & Irene","$149,270,999 ","$90,570,999 ",39.30%,"$58,700,000 "
30,The Beach,"$144,056,873 ","$39,785,027 ",72.40%,"$104,271,846 "
31,Remember the Titans,"$136,706,683 ","$115,654,751 ",15.40%,"$21,051,932 "
32,Pokémon the Movie 2000,"$133,949,270 ","$43,758,684 ",67.30%,"$90,190,586 "
33,Space Cowboys,"$128,884,132 ","$90,464,773 ",29.80%,"$38,419,359 "
34,U-571,"$127,666,415 ","$77,122,415 ",39.60%,"$50,544,000 "
35,The Family Man,"$124,745,083 ","$75,793,305 ",39.20%,"$48,951,778 "
36,Road Trip,"$119,754,278 ","$68,540,777 ",42.80%,"$51,213,501 "
37,Coyote Ugly,"$113,916,474 ","$60,786,269 ",46.60%,"$53,130,205 "
38,Final Destination,"$112,880,294 ","$53,331,147 ",52.80%,"$59,549,147 "
39,The Exorcist 2000 Director's Cut,"$112,053,066 ","$39,671,011 ",64.60%,"$72,382,055 "
40,Mission to Mars,"$110,983,407 ","$60,883,407 ",45.10%,"$50,100,000 "
41,The Kid,"$110,317,580 ","$69,691,949 ",36.80%,"$40,625,631 "
42,Billy Elliot,"$109,280,263 ","$21,995,263 ",79.90%,"$87,285,000 "
43,Shaft,"$107,196,498 ","$70,334,258 ",34.40%,"$36,862,240 "
44,The Whole Nine Yards,"$106,371,651 ","$57,262,492 ",46.20%,"$49,109,159 "
45,The Cell,"$104,155,843 ","$61,334,059 ",41.10%,"$42,821,784 "
46,Rugrats in Paris,"$103,291,131 ","$76,507,756 ",25.90%,"$26,783,375 "
47,Shanghai Noon,"$99,274,467 ","$56,937,502 ",42.60%,"$42,336,965 "
48,The Tigger Movie,"$96,159,800 ","$45,554,533 ",52.60%,"$50,605,267 "
49,The 6th Day,"$96,085,477 ","$34,604,280 ",64%,"$61,481,197 "
50,Romeo Must Die,"$91,036,760 ","$55,973,336 ",38.50%,"$35,063,424 "
51,Fantasia 2000,"$90,874,570 ","$60,655,420 ",33.30%,"$30,219,150 "
52,Autumn in New York,"$90,726,668 ","$37,761,915 ",58.40%,"$52,964,753 "
53,Bring It On,"$90,449,929 ","$68,379,000 ",24.40%,"$22,070,929 "
54,Bedazzled,"$90,383,208 ","$37,886,980 ",58.10%,"$52,496,228 "
55,Snatch,"$83,557,872 ","$30,328,156 ",63.70%,"$53,229,716 "
56,Men of Honor,"$82,343,495 ","$48,818,921 ",40.70%,"$33,524,574 "
57,Finding Forrester,"$80,049,764 ","$51,804,714 ",35.30%,"$28,245,050 "
58,The Road to El Dorado,"$76,432,727 ","$50,863,742 ",33.50%,"$25,568,985 "
59,"Dude, Where's My Car?","$73,180,723 ","$46,729,800 ",36.10%,"$26,450,923 "
