Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Frozen,"$1,280,802,282","$400,738,009",68.7%,"$880,064,273"
2,Iron Man 3,"$1,214,811,252","$409,013,994",66.3%,"$805,797,258"
3,Despicable Me 2,"$970,766,005","$368,065,385",62.1%,"$602,700,620"
4,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",73%,"$700,000,000"
5,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",50.9%,"$440,343,699"
6,Fast & Furious 6,"$788,679,850","$238,679,850",69.7%,"$550,000,000"
7,Monsters University,"$743,559,607","$268,492,764",63.9%,"$475,066,843"
8,Gravity,"$723,192,705","$274,092,705",62.1%,"$449,100,000"
9,Man of Steel,"$668,045,518","$291,045,518",56.4%,"$377,000,000"
10,Thor: The Dark World,"$644,783,140","$206,362,140",68%,"$438,421,000"
11,The Croods,"$587,204,668","$187,168,425",68.1%,"$400,036,243"
12,World War Z,"$540,007,876","$202,359,711",62.5%,"$337,648,165"
13,Oz the Great and Powerful,"$493,311,825","$234,911,825",52.4%,"$258,400,000"
14,Star Trek Into Darkness,"$467,365,246","$228,778,661",51%,"$238,586,585"
15,The Wolverine,"$414,828,246","$132,556,852",68%,"$282,271,394"
16,Pacific Rim,"$411,002,906","$101,802,906",75.2%,"$309,200,000"
17,The Wolf of Wall Street,"$392,000,694","$116,900,694",70.2%,"$275,100,000"
18,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",67.4%,"$253,217,645"
19,The Hangover Part III,"$362,000,072","$112,200,072",69%,"$249,800,000"
20,The Great Gatsby,"$353,641,895","$144,840,419",59%,"$208,801,476"
21,Now You See Me,"$351,723,989","$117,723,989",66.5%,"$234,000,000"
22,The Smurfs 2,"$347,545,360","$71,017,784",79.6%,"$276,527,576"
23,The Conjuring,"$319,494,638","$137,400,141",57%,"$182,094,497"
24,A Good Day to Die Hard,"$304,654,182","$67,349,198",77.9%,"$237,304,984"
25,Oblivion,"$286,168,572","$89,107,235",68.9%,"$197,061,337"
26,Elysium,"$286,140,700","$93,050,117",67.5%,"$193,090,583"
27,Turbo,"$282,570,682","$83,028,128",70.6%,"$199,542,554"
