Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",71.6%,"$960,500,000"
2,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",68.6%,"$771,403,536"
3,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",76.9%,"$804,642,000"
4,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",60.5%,"$430,918,723"
5,Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",69.9%,"$485,315,477"
6,Kung Fu Panda 2,"$665,692,281","$165,249,063",75.2%,"$500,443,218"
7,Fast Five,"$626,137,675","$209,837,675",66.5%,"$416,300,000"
8,The Hangover Part II,"$586,764,305","$254,464,305",56.6%,"$332,300,000"
9,The Smurfs,"$563,749,323","$142,614,158",74.7%,"$421,135,165"
10,Cars 2,"$559,852,396","$191,452,396",65.8%,"$368,400,000"
11,Puss in Boots,"$554,987,477","$149,260,504",73.1%,"$405,726,973"
12,Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",65.6%,"$357,000,000"
13,Rio,"$483,866,518","$143,619,809",70.3%,"$340,246,709"
14,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",63.3%,"$305,040,688"
15,Thor,"$449,326,618","$181,030,624",59.7%,"$268,295,994"
16,The Intouchables,"$426,588,510","$10,198,820",97.6%,"$416,389,690"
17,The Adventures of Tintin,"$373,993,951","$77,591,831",79.3%,"$296,402,120"
18,Captain America: The First Avenger,"$370,569,774","$176,654,505",52.3%,"$193,915,269"
19,X-Men: First Class,"$352,616,690","$146,408,305",58.5%,"$206,208,385"
20,Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",61.2%,"$209,584,693"
21,Real Steel,"$299,268,508","$85,468,508",71.4%,"$213,800,000"
22,Bridesmaids,"$288,383,523","$169,106,725",41.4%,"$119,276,798"
23,Super 8,"$260,095,986","$127,004,179",51.2%,"$133,091,807"
24,Rango,"$245,724,603","$123,477,607",49.7%,"$122,246,996"
25,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",55.9%,"$130,101,637"
26,The Green Hornet,"$227,817,248","$98,780,042",56.6%,"$129,037,206"
27,Immortals,"$226,904,017","$83,504,017",63.2%,"$143,400,000"
28,Green Lantern,"$219,851,172","$116,601,172",47%,"$103,250,000"
29,The Help,"$216,639,112","$169,708,112",21.7%,"$46,931,000"
30,Bad Teacher,"$216,197,492","$100,292,856",53.6%,"$115,904,636"
31,Just Go with It,"$214,945,591","$103,028,109",52.1%,"$111,917,482"
32,Battle Los Angeles,"$211,819,354","$83,552,429",60.6%,"$128,266,925"
33,Horrible Bosses,"$209,838,559","$117,538,559",44%,"$92,300,000"
34,Paranormal Activity 3,"$207,039,844","$104,028,807",49.8%,"$103,011,037"
35,Gnomeo & Juliet,"$193,967,670","$99,967,670",48.5%,"$94,000,000"
36,Mr. Popper's Penguins,"$187,361,754","$68,224,452",63.6%,"$119,137,302"
37,Hugo,"$185,770,160","$73,864,507",60.2%,"$111,905,653"
38,The Lion King 2011 3D Release,"$185,542,001","$94,242,001",49.2%,"$91,300,000"
39,Hop,"$183,953,723","$108,085,305",41.2%,"$75,868,418"
40,War Horse,"$177,584,879","$79,884,879",55%,"$97,700,000"
41,The Descendants,"$177,243,185","$82,584,160",53.4%,"$94,659,025"
42,Cowboys & Aliens,"$174,822,325","$100,240,551",42.7%,"$74,581,774"
43,In Time,"$173,930,596","$37,520,095",78.4%,"$136,410,501"
44,Zookeeper,"$169,852,759","$80,360,843",52.7%,"$89,491,916"
45,The Muppets,"$165,184,237","$88,631,237",46.3%,"$76,553,000"
46,Limitless,"$161,849,455","$79,249,455",51%,"$82,600,000"
47,Johnny English Reborn,"$160,078,586","$8,305,970",94.8%,"$151,772,616"
48,Happy Feet Two,"$159,196,259","$64,006,466",59.8%,"$95,189,793"
49,Final Destination 5,"$157,887,643","$42,587,643",73%,"$115,300,000"
50,Tower Heist,"$152,930,623","$78,046,570",49%,"$74,884,053"
51,Midnight in Paris,"$151,672,318","$56,817,045",62.5%,"$94,855,273"
52,I Am Number Four,"$149,878,437","$55,100,437",63.2%,"$94,778,000"
53,Jack and Jill,"$149,673,788","$74,158,157",50.5%,"$75,515,631"
54,Friends with Benefits,"$149,542,245","$55,802,754",62.7%,"$93,739,491"
55,No Strings Attached,"$149,228,077","$70,662,220",52.6%,"$78,565,857"
56,Arthur Christmas,"$147,419,472","$46,462,469",68.5%,"$100,957,003"
57,Source Code,"$147,332,697","$54,712,227",62.9%,"$92,620,470"
58,"Crazy, Stupid, Love.","$145,051,197","$84,351,197",41.8%,"$60,700,000"
59,New Year's Eve,"$142,044,638","$54,544,638",61.6%,"$87,500,000"
60,Contagion,"$136,515,867","$75,658,097",44.6%,"$60,857,770"
61,Unknown,"$135,710,029","$63,686,397",53.1%,"$72,023,632"
62,The Artist,"$133,432,856","$44,671,682",66.5%,"$88,761,174"
63,The Three Musketeers,"$132,274,484","$20,374,484",84.6%,"$111,900,000"
64,We Bought a Zoo,"$120,081,841","$75,624,550",37%,"$44,457,291"
65,Hankyu Railways - A 15-minute Miracle,"$118,799,256",-,100%,"$118,799,256"
66,Water for Elephants,"$117,094,902","$58,709,717",49.9%,"$58,385,185"
67,The Iron Lady,"$115,890,699","$30,017,992",74.1%,"$85,872,707"
68,Moneyball,"$110,206,216","$75,605,492",31.4%,"$34,600,724"
69,Insidious,"$99,557,032","$54,009,150",45.8%,"$45,547,882"
70,Justin Bieber: Never Say Never,"$99,036,827","$73,013,910",26.3%,"$26,022,917"
71,Paul,"$97,984,015","$37,412,945",61.8%,"$60,571,070"
72,Scream 4,"$97,138,686","$38,180,928",60.7%,"$58,957,758"
73,The Rite,"$96,560,591","$33,047,633",65.8%,"$63,512,958"
74,Dolphin Tale,"$95,932,565","$72,286,779",24.6%,"$23,645,786"
75,Rien à déclarer,"$93,811,164",-,100%,"$93,811,164"
76,Season of the Witch,"$91,627,228","$24,827,228",72.9%,"$66,800,000"
77,Red Riding Hood,"$90,260,376","$37,662,162",58.3%,"$52,598,214"
78,Sucker Punch,"$89,792,502","$36,392,502",59.5%,"$53,400,000"
79,The Inbetweeners,"$88,823,111","$36,000",100%,"$88,787,111"
80,The Lincoln Lawyer,"$86,752,352","$58,009,200",33.1%,"$28,743,152"
81,Hall Pass,"$86,157,237","$45,060,734",47.7%,"$41,096,503"
82,Spy Kids 4-D: All the Time in the World,"$85,564,310","$38,538,188",55%,"$47,026,122"
83,J. Edgar,"$84,920,539","$37,306,030",56.1%,"$47,614,509"
84,"Big Mommas: Like Father, Like Son","$82,686,066","$37,915,414",54.1%,"$44,770,652"
85,Abduction,"$82,087,155","$28,087,155",65.8%,"$54,000,000"
86,Tinker Tailor Soldier Spy,"$81,244,605","$24,149,393",70.3%,"$57,095,212"
87,Priest,"$78,309,505","$29,137,000",62.8%,"$49,172,505"
88,Drive,"$76,976,666","$35,061,555",54.5%,"$41,915,111"
89,The Ides of March,"$76,338,111","$40,962,534",46.3%,"$35,375,577"
90,The Mechanic,"$76,130,093","$29,121,498",61.7%,"$47,008,595"
91,The Change-Up,"$75,450,437","$37,081,475",50.9%,"$38,368,962"
92,Larry Crowne,"$75,055,070","$35,608,245",52.6%,"$39,446,825"
93,Diary of a Wimpy Kid: Rodrick Rules,"$72,526,996","$52,698,535",27.3%,"$19,828,461"
94,The Dilemma,"$69,721,966","$48,475,290",30.5%,"$21,246,676"
95,Something Borrowed,"$65,100,369","$39,046,489",40%,"$26,053,880"
96,The Darkest Hour,"$64,626,786","$21,443,494",66.8%,"$43,183,292"
97,Hanna,"$63,782,078","$40,259,119",36.9%,"$23,522,959"
98,Footloose 2011 Re-release,"$63,543,328","$51,802,742",18.5%,"$11,740,586"
99,Conan the Barbarian,"$63,523,283","$21,295,021",66.5%,"$42,228,262"
100,Colombiana,"$63,458,440","$36,665,854",42.2%,"$26,792,586"
101,From Up on Poppy Hill,"$61,459,425","$1,002,895",98.4%,"$60,456,530"
102,What a Beautiful Day,"$60,661,950",-,100%,"$60,661,950"
103,One Day,"$59,389,433","$13,843,771",76.7%,"$45,545,662"
104,The Tree of Life,"$58,409,247","$13,303,319",77.2%,"$45,105,928"
105,Beginning of the Great Revival,"$58,309,289","$151,000",99.7%,"$58,158,289"
106,Killer Elite,"$57,084,522","$25,124,966",56%,"$31,959,556"
107,Gekijouban Tenpesuto 3D,"$57,082,491",-,100%,"$57,082,491"
108,Silent Hill: Revelation,"$55,362,705","$17,529,157",68.3%,"$37,833,548"
109,Extremely Loud & Incredibly Close,"$55,247,881","$31,847,881",42.4%,"$23,400,000"
110,Madea's Big Happy Family,"$54,161,287","$53,345,287",1.5%,"$816,000"
111,A Ghost of a Chance,"$53,982,636",-,100%,"$53,982,636"
112,Sseo-ni,"$51,116,421",-,100%,"$51,116,421"
113,War of the Arrows,"$50,587,661","$251,200",99.5%,"$50,336,461"
114,Kokowääh,"$50,447,784",-,100%,"$50,447,784"
115,Winnie the Pooh,"$49,871,429","$26,692,846",46.5%,"$23,178,583"
116,Arthur,"$48,147,945","$33,035,397",31.4%,"$15,112,548"
117,Soul Surfer,"$47,120,948","$43,853,424",6.9%,"$3,267,524"
118,The Debt,"$45,636,368","$31,177,548",31.7%,"$14,458,820"
119,Beastly,"$43,202,283","$27,865,571",35.5%,"$15,336,712"
120,Detective Conan: Quarter of Silence,"$42,808,575",-,100%,"$42,808,575"
121,Shaolin,"$42,741,494","$66,099",99.8%,"$42,675,395"
122,Born to Be Wild,"$41,644,475","$25,978,556",37.6%,"$15,665,919"
123,Shark Night,"$41,363,927","$18,877,153",54.4%,"$22,486,774"
124,50/50,"$41,097,853","$35,014,192",14.8%,"$6,083,661"
125,Fright Night,"$41,002,607","$18,302,607",55.4%,"$22,700,000"
126,Drive Angry,"$40,909,909","$10,721,033",73.8%,"$30,188,876"
127,30 Minutes or Less,"$40,662,632","$37,053,924",8.9%,"$3,608,708"
128,Gantz,"$40,568,961",-,100%,"$40,568,961"
129,The Roommate,"$40,492,652","$37,300,000",7.9%,"$3,192,652"
130,SP: The Motion Picture II,"$40,255,101",-,100%,"$40,255,101"
131,Dream House,"$39,984,400","$21,302,340",46.7%,"$18,682,060"
132,Monte Carlo,"$39,782,683","$23,186,769",41.7%,"$16,595,914"
133,Eiga Kaibutsukun,"$39,766,344",-,100%,"$39,766,344"
134,Mars Needs Moms,"$39,233,678","$21,392,758",45.5%,"$17,840,920"
135,The Crown Jewels,"$39,000,000",-,100%,"$39,000,000"
136,Don't Be Afraid of the Dark,"$38,269,529","$24,046,682",37.2%,"$14,222,847"
137,Jumping the Broom,"$38,158,601","$37,295,394",2.3%,"$863,207"
138,One for the Money,"$38,080,789","$26,414,527",30.6%,"$11,666,262"
139,The Eagle,"$37,989,684","$19,490,041",48.7%,"$18,499,643"
140,A Very Harold & Kumar Christmas,"$36,192,775","$35,061,031",3.1%,"$1,131,744"
141,Ra.One,"$35,911,689","$2,511,689",93%,"$33,400,000"
142,Courageous,"$35,185,884","$34,522,221",1.9%,"$663,663"
143,My Week with Marilyn,"$35,057,696","$14,600,347",58.4%,"$20,457,349"
