Rank,Release Group,Worldwide,Domestic,%,Foreign
144,The Sitter,"$34,942,188","$30,441,326",12.9%,"$4,500,862"
145,Jane Eyre,"$34,710,627","$11,242,660",67.6%,"$23,467,967"
146,The Skin I Live In,"$33,678,406","$3,185,812",90.5%,"$30,492,594"
147,Gantz: Perfect Answer,"$33,672,515",-,100%,"$33,672,515"
148,Punch,"$33,556,725",-,100%,"$33,556,725"
149,Detective K: Secret of Virtuous Widow,"$32,358,664",-,100%,"$32,358,664"
150,Bodyguard,"$31,516,209","$1,834,384",94.2%,"$29,681,825"
151,The Thing,"$31,505,287","$16,928,670",46.3%,"$14,576,617"
152,I Don't Know How She Does It,"$31,410,151","$9,662,284",69.2%,"$21,747,867"
153,"All's Well, Ends Well 2011","$31,335,572",-,100%,"$31,335,572"
154,Vysotsky. Thank You for Being Alive,"$31,016,553",-,100%,"$31,016,553"
155,Silenced,"$30,996,130",-,100%,"$30,996,130"
156,African Cats,"$30,857,747","$15,428,747",50%,"$15,429,000"
157,Carnage,"$30,722,632","$2,547,047",91.7%,"$28,175,585"
158,A Dangerous Method,"$30,519,436","$5,704,709",81.3%,"$24,814,727"
159,What's Your Number?,"$30,426,096","$14,011,084",54%,"$16,415,012"
160,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,"$30,236,973",-,100%,"$30,236,973"
161,Eternal Moment,"$30,186,159",-,100%,"$30,186,159"
162,The Rum Diary,"$30,134,958","$13,109,815",56.5%,"$17,025,143"
163,My Own Swordsman,"$30,082,188",-,100%,"$30,082,188"
164,You Are the Apple of My Eye,"$29,843,025",-,100%,"$29,843,025"
165,Torrente 4,"$29,737,384",-,100%,"$29,737,384"
166,The Sorcerer and the White Snake,"$29,649,716",-,100%,"$29,649,716"
167,Unfair: The Answer,"$29,166,054",-,100%,"$29,166,054"
168,Dragon,"$29,140,858",-,100%,"$29,140,858"
169,Yolki 2,"$28,719,002",-,100%,"$28,719,002"
170,Your Highness,"$28,013,733","$21,596,445",22.9%,"$6,417,288"
171,Love Strikes!,"$27,707,149",-,100%,"$27,707,149"
172,The Women on the 6th Floor,"$27,533,970","$719,823",97.4%,"$26,814,147"
173,Letters to Santa,"$26,923,513",-,100%,"$26,923,513"
174,A Monster in Paris,"$26,611,650",-,100%,"$26,611,650"
175,Ivan Tsarevich & the Grey Wolf,"$26,420,475",-,100%,"$26,420,475"
176,Apollo 18,"$26,236,153","$17,687,709",32.6%,"$8,548,444"
177,Our Idiot Brother,"$25,804,448","$24,816,118",3.8%,"$988,330"
178,Eyyvah Eyvah 2,"$24,792,348",-,100%,"$24,792,348"
179,Ready,"$24,663,361","$955,148",96.1%,"$23,708,213"
180,In His Chart,"$23,384,864",-,100%,"$23,384,864"
181,Warrior,"$23,308,615","$13,657,115",41.4%,"$9,651,500"
182,Hoodwinked Too! Hood vs. Evil,"$23,167,844","$10,143,779",56.2%,"$13,024,065"
183,Young Adult,"$22,939,027","$16,311,571",28.9%,"$6,627,456"
184,Andalucia: Revenge of the Goddess,"$22,929,221",-,100%,"$22,929,221"
185,A Separation,"$22,926,076","$7,099,055",69%,"$15,827,021"
186,Qualunquemente,"$22,862,029",-,100%,"$22,862,029"
187,Friends: Naki on the Monster Island,"$22,537,428",-,100%,"$22,537,428"
188,Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,"$22,313,925",-,100%,"$22,313,925"
189,Gooische vrouwen,"$22,194,574",-,100%,"$22,194,574"
190,The Immature,"$21,858,834",-,100%,"$21,858,834"
191,Pleasant Goat and Big Big Wolf 3,"$21,847,806",-,100%,"$21,847,806"
192,Quick,"$21,561,934",-,100%,"$21,561,934"
193,K-On! The Movie,"$21,434,003",-,100%,"$21,434,003"
194,Red Dog,"$21,185,162",-,100%,"$21,185,162"
195,Vicky and the Treasure of the Gods,"$20,796,153",-,100%,"$20,796,153"
196,The Front Line,"$20,629,645","$11,018",99.9%,"$20,618,627"
197,Polisse,"$20,590,872","$211,440",99%,"$20,379,432"
198,Hollywoo,"$20,587,850",-,100%,"$20,587,850"
199,Scabbard Samurai,"$20,251,745",-,100%,"$20,251,745"
200,Kaiji 2: The Ultimate Gambler,"$19,971,259",-,100%,"$19,971,259"
