Rank,Release Group,Worldwide,Domestic,%,Foreign
32,Passengers,"$303,144,152","$100,014,699",67%,"$203,129,453"
33,Alice Through the Looking Glass,"$299,457,024","$77,041,381",74.3%,"$222,415,643"
34,Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",70.6%,"$209,239,612"
35,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",66.6%,"$163,572,247"
36,Sully,"$240,797,623","$125,070,033",48.1%,"$115,727,590"
37,Assassin's Creed,"$240,697,856","$54,647,948",77.3%,"$186,049,908"
38,Hidden Figures,"$235,956,898","$169,607,287",28.1%,"$66,349,611"
39,Ghostbusters,"$229,147,509","$128,350,574",44%,"$100,796,935"
40,Inferno,"$220,021,259","$34,343,574",84.4%,"$185,677,685"
41,Central Intelligence,"$216,972,543","$127,440,871",41.3%,"$89,531,672"
42,Bridget Jones's Baby,"$211,952,420","$24,252,420",88.6%,"$187,700,000"
43,Me Before You,"$208,314,186","$56,245,075",73%,"$152,069,111"
44,London Has Fallen,"$205,754,447","$62,524,260",69.6%,"$143,230,187"
45,Arrival,"$203,388,186","$100,546,139",50.6%,"$102,842,047"
46,The BFG,"$195,243,411","$55,483,770",71.6%,"$139,759,641"
47,The Monkey King 2,"$193,678,298","$709,982",99.6%,"$192,968,316"
48,Bad Moms,"$183,936,074","$113,257,297",38.4%,"$70,678,777"
49,Storks,"$183,388,953","$72,679,278",60.4%,"$110,709,675"
50,From Vegas to Macau III,"$181,732,879",-,100%,"$181,732,879"
51,Hacksaw Ridge,"$180,563,636","$67,209,615",62.8%,"$113,354,021"
52,Allegiant,"$179,246,868","$66,184,051",63.1%,"$113,062,817"
53,Operation Mekong,"$173,839,072","$800,012",99.5%,"$173,039,060"
54,The Girl on the Train,"$173,185,859","$75,395,035",56.5%,"$97,790,824"
55,The Huntsman: Winter's War,"$164,989,338","$48,390,190",70.7%,"$116,599,148"
56,The Magnificent Seven,"$162,360,636","$93,432,655",42.5%,"$68,927,981"
57,Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",63.8%,"$103,449,000"
58,Don't Breathe,"$157,761,002","$89,217,875",43.4%,"$68,543,127"
59,The Accountant,"$155,160,045","$86,260,045",44.4%,"$68,900,000"
60,Lights Out,"$148,868,835","$67,268,835",54.8%,"$81,600,000"
61,Time Raiders,"$145,819,137",-,100%,"$145,819,137"
62,Pete's Dragon,"$143,695,338","$76,233,151",46.9%,"$67,462,187"
63,Sausage Party,"$140,705,322","$97,685,686",30.6%,"$43,019,636"
64,Lion,"$140,312,928","$51,738,905",63.1%,"$88,574,023"
65,Skiptrace,"$136,579,287",-,100%,"$136,579,287"
66,Mechanic: Resurrection,"$125,729,635","$21,218,403",83.1%,"$104,511,232"
67,Deepwater Horizon,"$121,790,373","$61,433,527",49.6%,"$60,356,846"
68,Allied,"$119,520,023","$40,098,064",66.5%,"$79,421,959"
69,I Belonged to You,"$119,107,580","$744,541",99.4%,"$118,363,039"
70,The Shallows,"$119,100,758","$55,124,043",53.7%,"$63,976,715"
71,The Purge: Election Year,"$118,587,880","$79,213,375",33.2%,"$39,374,505"
72,Why Him?,"$118,102,725","$60,323,786",48.9%,"$57,778,939"
73,Book of Love,"$114,679,097",-,100%,"$114,679,097"
74,Office Christmas Party,"$114,501,299","$54,767,494",52.2%,"$59,733,805"
75,How to Be Single,"$112,343,513","$46,843,513",58.3%,"$65,500,000"
76,10 Cloverfield Lane,"$110,216,998","$72,082,998",34.6%,"$38,134,000"
77,Neighbors 2: Sorority Rising,"$108,007,109","$55,455,765",48.7%,"$52,551,344"
78,Cold War 2,"$103,197,501","$560,824",99.5%,"$102,636,677"
79,Railroad Tigers,"$102,205,175","$218,044",99.8%,"$101,987,131"
80,Qing sheng,"$95,721,752","$100,026",99.9%,"$95,621,726"
81,Dirty Grandpa,"$94,073,028","$35,593,113",62.2%,"$58,479,915"
82,Ben-Hur,"$94,061,311","$26,410,477",71.9%,"$67,650,834"
83,Money Monster,"$93,282,604","$41,012,075",56%,"$52,270,529"
84,Train to Busan,"$92,742,323","$2,129,768",97.7%,"$90,612,555"
85,My Big Fat Greek Wedding 2,"$90,632,641","$59,689,605",34.1%,"$30,943,036"
86,Collateral Beauty,"$88,528,280","$31,016,021",65%,"$57,512,259"
87,Line Walker,"$88,228,755",-,100%,"$88,228,755"
88,Sultan,"$87,280,000","$6,200,000",92.9%,"$81,080,000"
89,War Dogs,"$86,234,523","$43,034,523",50.1%,"$43,200,000"
90,Big Fish & Begonia,"$85,409,373",-,100%,"$85,409,373"
91,Nerve,"$85,251,425","$38,583,626",54.7%,"$46,667,799"
92,Leap!,"$84,197,417","$2,844,490",96.6%,"$81,352,927"
93,Ouija: Origin of Evil,"$81,705,746","$35,144,505",57%,"$46,561,241"
94,Underworld: Blood Wars,"$81,093,313","$30,353,973",62.6%,"$50,739,340"
95,Manchester by the Sea,"$78,988,148","$47,695,371",39.6%,"$31,292,777"
96,The Boss,"$78,844,582","$63,285,885",19.7%,"$15,558,697"
97,Shin Godzilla,"$77,947,607","$1,918,403",97.5%,"$76,029,204"
98,Mike and Dave Need Wedding Dates,"$77,068,246","$46,009,673",40.3%,"$31,058,573"
99,Kubo and the Two Strings,"$76,249,438","$48,023,088",37%,"$28,226,350"
100,Quo vado?,"$75,878,701",-,100%,"$75,878,701"
101,Boo! A Madea Halloween,"$74,827,344","$73,206,343",2.2%,"$1,621,001"
102,Miracles from Heaven,"$73,983,003","$61,705,123",16.6%,"$12,277,880"
103,I Am Not Madame Bovary,"$70,826,207","$436,798",99.4%,"$70,389,409"
104,See You Tomorrow,"$70,065,569",-,100%,"$70,065,569"
105,One Piece Film: Gold,"$66,207,073","$423,593",99.4%,"$65,783,480"
106,Moonlight,"$65,336,603","$27,854,932",57.4%,"$37,481,671"
107,Monster Trucks,"$64,493,915","$33,370,166",48.3%,"$31,123,749"
108,Fences,"$64,414,761","$57,682,904",10.5%,"$6,731,857"
109,"Hail, Caesar!","$63,647,656","$30,498,085",52.1%,"$33,149,571"
110,The Nice Guys,"$62,788,218","$36,261,763",42.2%,"$26,526,455"
111,Huo guo ying xiong,"$58,106,427","$779,818",98.7%,"$57,326,609"
112,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494","$350,456",99.4%,"$57,739,038"
113,Nine Lives,"$57,814,445","$19,700,032",65.9%,"$38,114,413"
114,Zoolander 2,"$56,722,693","$28,848,693",49.1%,"$27,874,000"
115,Barbershop: The Next Cut,"$55,030,051","$54,030,051",1.8%,"$1,000,000"
116,The Age of Shadows,"$54,491,162","$541,719",99%,"$53,949,443"
117,A Chinese Odyssey: Part Three,"$53,306,108",-,100%,"$53,306,108"
118,Tunnel,"$52,444,295","$568,876",98.9%,"$51,875,419"
119,Patriots Day,"$52,185,751","$31,886,361",38.9%,"$20,299,390"
120,My Beloved Bodyguard,"$52,165,873",-,100%,"$52,165,873"
121,The Finest Hours,"$52,099,090","$27,569,558",47.1%,"$24,529,532"
122,Master,"$51,636,415","$597,251",98.8%,"$51,039,164"
123,Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840",-,100%,"$50,939,840"
124,The Wailing,"$49,851,770","$786,633",98.4%,"$49,065,137"
125,Demain tout commence,"$49,619,118",-,100%,"$49,619,118"
126,Never Gone,"$48,980,792","$96,421",99.8%,"$48,884,371"
127,Luck-Key,"$48,913,975","$466,505",99%,"$48,447,470"
128,Florence Foster Jenkins,"$48,902,953","$27,383,770",44%,"$21,519,183"
129,Mother's Day,"$48,782,670","$32,492,859",33.4%,"$16,289,811"
130,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462",-,100%,"$47,642,462"
131,A Monster Calls,"$47,309,313","$3,740,823",92.1%,"$43,568,490"
132,Risen,"$46,432,579","$36,880,033",20.6%,"$9,552,546"
133,Eddie the Eagle,"$46,152,800","$15,789,389",65.8%,"$30,363,411"
134,Blair Witch,"$45,173,154","$20,777,061",54%,"$24,396,093"
135,Boonie Bears: The Big Top Secret,"$45,150,390",-,100%,"$45,150,390"
136,Café Society,"$43,763,247","$11,103,205",74.6%,"$32,660,042"
137,League of Gods,"$43,498,766","$181,633",99.6%,"$43,317,133"
138,Almost Christmas,"$42,580,920","$42,158,780",1%,"$422,140"
139,The Witch,"$40,423,945","$25,138,705",37.8%,"$15,285,240"
140,The Wild Life,"$40,075,446","$8,005,586",80%,"$32,069,860"
141,Love O2O,"$39,969,537",-,100%,"$39,969,537"
142,The Forest,"$39,712,000","$26,594,261",33%,"$13,117,739"
143,Absolutely Fabulous: The Movie,"$39,219,109","$4,772,155",87.8%,"$34,446,954"
144,My Mom Is a Character 2,"$39,195,565",-,100%,"$39,195,565"
145,Masterpiece Mystery: Sherlock: The Abominable Bride,"$39,139,204",-,100%,"$39,139,204"
146,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039",-,100%,"$38,659,039"
147,Hell or High Water,"$37,879,877","$27,007,844",28.7%,"$10,872,033"
148,Mission Milano,"$37,749,848",-,100%,"$37,749,848"
149,The Handmaiden,"$37,692,886","$2,006,788",94.7%,"$35,686,098"
150,Snowden,"$37,357,216","$21,587,519",42.2%,"$15,769,697"
151,Nobunaga Concerto: The Movie,"$36,187,594",-,100%,"$36,187,594"
152,Eye in the Sky,"$35,259,653","$18,704,595",47%,"$16,555,058"
153,Les Tuche 2: The American Dream,"$35,210,425",-,100%,"$35,210,425"
154,Os Dez Mandamentos - O Filme,"$31,998,251",-,100%,"$31,998,251"
155,Bounty Hunters,"$31,918,573",-,100%,"$31,918,573"
156,Ae Dil Hai Mushkil,"$31,668,920","$4,264,983",86.5%,"$27,403,937"
157,Assassination Classroom: The Graduation,"$31,352,921",-,100%,"$31,352,921"
158,Perfect Strangers,"$31,254,929",-,100%,"$31,254,929"
159,Billy Lynn's Long Halftime Walk,"$30,930,984","$1,738,477",94.4%,"$29,192,507"
160,Pandora,"$30,896,701",-,100%,"$30,896,701"
161,Norm of the North,"$30,734,502","$17,062,499",44.5%,"$13,672,003"
162,When the Bough Breaks,"$30,658,387","$29,747,603",3%,"$910,784"
163,S Storm,"$30,381,402",-,100%,"$30,381,402"
164,Nocturnal Animals,"$30,311,857","$10,663,357",64.8%,"$19,648,500"
165,A Silent Voice: The Movie,"$30,156,463","$310,407",99%,"$29,846,056"
166,Keeping Up with the Joneses,"$29,918,745","$14,904,426",50.2%,"$15,014,319"
167,Jackie,"$29,777,777","$13,960,394",53.1%,"$15,817,383"
168,Masterminds,"$29,674,699","$17,368,022",41.5%,"$12,306,677"
169,Flight Crew,"$29,171,110",-,100%,"$29,171,110"
170,Viking,"$29,161,298",-,100%,"$29,161,298"
171,M.S. Dhoni: The Untold Story,"$28,903,047","$1,801,550",93.8%,"$27,101,497"
172,Fan,"$28,240,000","$2,300,000",91.9%,"$25,940,000"
173,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","$28,110,245",-,100%,"$28,110,245"
174,Welcome to Germany,"$28,036,021",-,100%,"$28,036,021"
175,The Brothers Grimsby,"$27,979,040","$6,874,837",75.4%,"$21,104,203"
176,When Larry Meets Mary,"$27,863,090",-,100%,"$27,863,090"
177,Yesterday Once More,"$27,411,872",-,100%,"$27,411,872"
178,The Light Between Oceans,"$25,975,621","$12,545,979",51.7%,"$13,429,642"
179,A Beautiful Planet,"$25,730,120","$15,650,615",39.2%,"$10,079,505"
180,Mr. Donkey,"$25,537,759","$356,255",98.6%,"$25,181,504"
181,Born in China,"$25,081,168","$13,873,211",44.7%,"$11,207,957"
182,Race,"$25,070,261","$19,206,207",23.4%,"$5,864,054"
183,Call of Heroes,"$25,040,561",-,100%,"$25,040,561"
184,Free State of Jones,"$25,035,950","$20,810,036",16.9%,"$4,225,914"
185,Whiskey Tango Foxtrot,"$24,972,139","$23,083,334",7.6%,"$1,888,805"
186,Soulmate,"$24,684,439",-,100%,"$24,684,439"
187,The Snow Queen 3: Fire and Ice,"$24,644,317",-,100%,"$24,644,317"
188,God's Not Dead 2,"$24,487,848","$20,774,575",15.2%,"$3,713,273"
189,Camping 3,"$24,224,579",-,100%,"$24,224,579"
190,The Founder,"$24,121,245","$12,786,053",47%,"$11,335,192"
191,Bad Santa 2,"$24,079,268","$17,782,178",26.2%,"$6,297,090"
192,Spirits' Homecoming,"$23,857,217","$125,616",99.5%,"$23,731,601"
193,Silence,"$23,834,809","$7,100,177",70.2%,"$16,734,632"
194,Kevin Hart: What Now?,"$23,591,043","$23,591,043",-,-
195,No manches Frida,"$23,540,937","$11,528,613",51%,"$12,012,324"
196,Middle School: The Worst Years of My Life,"$23,316,139","$20,007,149",14.2%,"$3,308,990"
197,Triple 9,"$23,177,948","$12,639,297",45.5%,"$10,538,651"
198,Rock Dog,"$23,157,646","$9,420,546",59.3%,"$13,737,100"
199,The Choice,"$23,064,015","$18,730,891",18.8%,"$4,333,124"
200,Penny Pincher!,"$22,955,486",-,100%,"$22,955,486"
