Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Toy Story 3,"$1,066,969,703","$415,004,880",61.1%,"$651,964,823"
2,Alice in Wonderland,"$1,025,467,110","$334,191,110",67.4%,"$691,276,000"
3,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",69.7%,"$680,553,613"
4,Inception,"$826,137,188","$292,576,195",64.6%,"$533,560,993"
5,Shrek Forever After,"$752,600,867","$238,736,787",68.3%,"$513,864,080"
6,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",57%,"$397,959,596"
7,Iron Man 2,"$623,933,331","$312,433,331",49.9%,"$311,500,000"
8,Tangled,"$592,461,732","$200,821,936",66.1%,"$391,639,796"
9,Despicable Me,"$543,113,985","$251,513,985",53.7%,"$291,600,000"
10,How to Train Your Dragon,"$494,878,759","$217,581,231",56%,"$277,297,528"
11,Clash of the Titans,"$493,214,993","$163,214,888",66.9%,"$330,000,105"
12,The King's Speech,"$423,999,102","$135,453,143",68.1%,"$288,545,959"
13,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",74.9%,"$311,299,267"
14,TRON: Legacy,"$400,062,763","$172,062,763",57%,"$228,000,000"
15,The Karate Kid,"$359,126,022","$176,591,618",50.8%,"$182,534,404"
16,Black Swan,"$329,398,046","$106,954,678",67.5%,"$222,443,368"
17,Megamind,"$321,885,765","$148,415,853",53.9%,"$173,469,912"
18,Robin Hood,"$321,669,741","$105,269,730",67.3%,"$216,400,011"
19,The Last Airbender,"$319,713,881","$131,772,187",58.8%,"$187,941,694"
20,Little Fockers,"$310,650,585","$148,438,600",52.2%,"$162,211,985"
21,Resident Evil: Afterlife,"$300,228,084","$60,128,566",80%,"$240,099,518"
22,Shutter Island,"$294,804,195","$128,012,934",56.6%,"$166,791,261"
23,Salt,"$293,503,354","$118,311,368",59.7%,"$175,191,986"
24,Sex and the City 2,"$290,745,055","$95,347,692",67.2%,"$195,397,363"
25,The Tourist,"$278,780,441","$67,631,157",75.7%,"$211,149,284"
26,The Expendables,"$274,470,394","$103,068,524",62.4%,"$171,401,870"
27,Grown Ups,"$271,430,189","$162,001,186",40.3%,"$109,429,003"
28,Knight and Day 2010 Re-release,"$261,930,436","$76,423,035",70.8%,"$185,507,401"
29,True Grit,"$252,276,927","$171,243,005",32.1%,"$81,033,922"
30,Gulliver's Travels,"$237,382,724","$42,779,261",82%,"$194,603,463"
31,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",60.8%,"$137,728,906"
32,The Social Network,"$224,920,315","$96,962,694",56.9%,"$127,957,621"
33,Valentine's Day,"$216,485,654","$110,485,654",49%,"$106,000,000"
34,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",70.7%,"$152,132,751"
35,Due Date,"$211,780,824","$100,539,043",52.5%,"$111,241,781"
36,Eat Pray Love,"$204,594,016","$80,574,010",60.6%,"$124,020,006"
37,Yogi Bear,"$203,509,374","$100,246,011",50.7%,"$103,263,363"
38,RED,"$199,006,387","$90,380,162",54.6%,"$108,626,225"
39,Paranormal Activity 2,"$177,512,032","$84,752,907",52.3%,"$92,759,125"
40,The A-Team,"$177,238,796","$77,222,099",56.4%,"$100,016,697"
