Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",67.8%,"$651,576,067"
2,Harry Potter and the Order of the Phoenix,"$941,676,843","$292,004,738",69%,"$649,672,105"
3,Spider-Man 3,"$894,983,373","$336,530,303",62.4%,"$558,453,070"
4,Shrek the Third,"$813,367,380","$322,719,944",60.3%,"$490,647,436"
5,Transformers,"$709,709,780","$319,246,193",55%,"$390,463,587"
6,Ratatouille,"$623,726,085","$206,445,654",66.9%,"$417,280,431"
7,I Am Legend,"$585,410,052","$256,393,010",56.2%,"$329,017,042"
8,The Simpsons Movie,"$536,414,270","$183,135,014",65.9%,"$353,279,256"
9,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",52.1%,"$239,278,134"
10,300,"$456,068,181","$210,614,939",53.8%,"$245,453,242"
11,The Bourne Ultimatum,"$444,100,035","$227,471,070",48.8%,"$216,628,965"
12,Live Free or Die Hard,"$388,156,011","$134,529,403",65.3%,"$253,626,608"
13,The Golden Compass,"$372,234,864","$70,107,728",81.2%,"$302,127,136"
14,Alvin and the Chipmunks,"$365,352,546","$217,326,974",40.5%,"$148,025,572"
15,Enchanted,"$340,487,652","$127,807,262",62.5%,"$212,680,390"
16,Ocean's Thirteen,"$311,312,624","$117,154,724",62.4%,"$194,157,900"
17,Fantastic 4: Rise of the Silver Surfer,"$301,913,131","$131,921,738",56.3%,"$169,991,393"
18,Bee Movie,"$293,514,336","$126,631,277",56.9%,"$166,883,059"
19,American Gangster,"$269,755,430","$130,164,645",51.7%,"$139,590,785"
20,Rush Hour 3,"$258,097,122","$140,125,968",45.7%,"$117,971,154"
21,Wild Hogs,"$253,625,427","$168,273,550",33.7%,"$85,351,877"
22,Juno,"$232,372,681","$143,495,265",38.2%,"$88,877,416"
23,Mr. Bean's Holiday,"$232,225,908","$33,302,167",85.7%,"$198,923,741"
24,Ghost Rider,"$228,738,393","$115,802,596",49.4%,"$112,935,797"
25,Knocked Up,"$219,922,417","$148,768,917",32.4%,"$71,153,500"
26,Hairspray,"$203,552,922","$118,871,849",41.6%,"$84,681,073"
27,Beowulf,"$196,393,745","$82,280,579",58.1%,"$114,113,166"
28,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",35.8%,"$67,074,561"
29,Knowing,"$183,658,498","$79,957,634",56.5%,"$103,700,864"
30,The Bucket List,"$175,372,502","$93,466,502",46.7%,"$81,906,000"
31,Evan Almighty,"$174,440,724","$100,462,298",42.4%,"$73,978,426"
32,No Country for Old Men,"$171,627,166","$74,283,625",56.7%,"$97,343,541"
33,Superbad,"$170,812,526","$121,463,226",28.9%,"$49,349,300"
