Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",66.9%,"$1,369,544,272"
2,Black Panther,"$1,346,913,161","$700,059,566",48%,"$646,853,595"
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",68.1%,"$890,748,184"
4,Incredibles 2,"$1,242,805,359","$608,581,744",51%,"$634,223,615"
5,Aquaman,"$1,148,461,807","$335,061,807",70.8%,"$813,400,000"
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",76%,"$687,227,217"
7,Venom,"$856,085,151","$213,515,506",75.1%,"$642,569,645"
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",72.2%,"$570,956,000"
9,Deadpool 2,"$734,546,611","$318,491,426",56.6%,"$416,055,185"
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",75.6%,"$495,300,000"
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",65.2%,"$406,025,399"
12,Ready Player One,"$582,890,172","$137,690,172",76.4%,"$445,200,000"
13,Operation Red Sea,"$579,330,426","$1,543,547",99.7%,"$577,786,879"
14,Detective Chinatown 2,"$544,185,156","$1,983,984",99.6%,"$542,201,172"
15,The Meg,"$530,243,742","$145,443,742",72.6%,"$384,800,000"
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",62%,"$328,232,251"
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",68.3%,"$361,073,758"
18,The Grinch,"$511,595,957","$270,620,950",47.1%,"$240,975,007"
19,Bumblebee,"$467,989,645","$127,195,589",72.8%,"$340,794,056"
20,Dying to Survive,"$451,176,639",-,100%,"$451,176,639"
21,A Star Is Born,"$436,188,866","$215,288,866",50.6%,"$220,900,000"
22,Rampage,"$428,028,233","$101,028,233",76.4%,"$327,000,000"
23,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",69.5%,"$274,409,771"
24,Solo: A Star Wars Story,"$392,924,807","$213,767,512",45.6%,"$179,157,295"
25,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",49.3%,"$185,299,521"
26,Fifty Shades Freed,"$371,985,018","$100,407,760",73%,"$271,577,258"
27,Hello Mr. Billionaire,"$366,961,907",-,100%,"$366,961,907"
28,The Nun,"$365,550,119","$117,450,119",67.9%,"$248,100,000"
29,Monster Hunt 2,"$361,682,618","$706,153",99.8%,"$360,976,465"
30,Peter Rabbit,"$351,266,433","$115,253,424",67.2%,"$236,013,009"
31,Mary Poppins Returns,"$349,537,494","$171,958,438",50.8%,"$177,579,056"
32,A Quiet Place,"$340,939,361","$188,024,361",44.9%,"$152,915,000"
33,Green Book,"$321,752,656","$85,080,171",73.6%,"$236,672,485"
34,Skyscraper,"$304,868,961","$68,420,120",77.6%,"$236,448,841"
35,Ocean's Eight,"$297,718,711","$140,218,711",52.9%,"$157,500,000"
36,Pacific Rim: Uprising,"$290,930,148","$59,874,525",79.4%,"$231,055,623"
37,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",79.9%,"$230,142,892"
38,Tomb Raider,"$274,650,803","$58,250,803",78.8%,"$216,400,000"
39,Halloween,"$255,485,178","$159,342,015",37.6%,"$96,143,163"
40,Crazy Rich Asians,"$238,532,921","$174,532,921",26.8%,"$64,000,000"
41,Creed II,"$214,215,889","$115,715,889",46%,"$98,500,000"
42,Smallfoot,"$214,040,103","$83,240,103",61.1%,"$130,800,000"
43,Us and Them,"$209,221,380",-,100%,"$209,221,380"
44,The Island,"$198,326,350","$670,883",99.7%,"$197,655,467"
45,Christopher Robin,"$197,744,377","$99,215,042",49.8%,"$98,529,335"
46,The Equalizer 2,"$190,400,157","$102,084,362",46.4%,"$88,315,795"
47,Project Gutenberg,"$188,116,796",-,100%,"$188,116,796"
48,The Mule,"$174,804,407","$103,804,407",40.6%,"$71,000,000"
49,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",68.5%,"$119,102,218"
50,Insidious: The Last Key,"$167,885,588","$67,745,330",59.6%,"$100,140,258"
51,The Predator,"$160,542,134","$51,024,708",68.2%,"$109,517,426"
52,Johnny English Strikes Again,"$158,970,776","$4,412,170",97.2%,"$154,558,606"
53,Red Sparrow,"$151,572,634","$46,874,505",69.1%,"$104,698,129"
54,More Than Blue,"$142,958,164","$722,669",99.5%,"$142,235,495"
55,The First Purge,"$137,056,262","$69,488,745",49.3%,"$67,567,517"
56,How Long Will I Love U,"$136,796,719","$746,933",99.5%,"$136,049,786"
57,A Wrinkle in Time,"$132,675,864","$100,478,608",24.3%,"$32,197,256"
58,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",47.9%,"$62,907,452"
59,Instant Family,"$120,556,201","$67,363,237",44.1%,"$53,192,964"
60,A Cool Fish,"$118,153,135","$551,876",99.5%,"$117,601,259"
61,Game Night,"$117,679,066","$69,179,066",41.2%,"$48,500,000"
62,Dragon Ball Super: Broly,"$115,757,940","$30,712,119",73.5%,"$85,045,821"
63,The Monkey King 3,"$115,084,576","$187,074",99.8%,"$114,897,502"
64,First Man,"$105,697,415","$44,936,545",57.5%,"$60,760,870"
65,Book Club,"$104,438,188","$68,566,296",34.3%,"$35,871,892"
66,Night School,"$103,105,878","$77,339,130",25%,"$25,766,748"
67,Detective Conan: Zero the Enforcer,"$101,860,359",-,100%,"$101,860,359"
68,Alpha,"$98,203,196","$35,857,181",63.5%,"$62,346,015"
69,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",98.8%,"$96,761,992"
70,A Simple Favor,"$97,644,617","$53,548,586",45.2%,"$44,096,031"
71,Boonie Bears: The Big Shrink,"$96,845,907",-,100%,"$96,845,907"
72,The Favourite,"$95,918,706","$34,366,783",64.2%,"$61,551,923"
73,Truth or Dare,"$95,330,493","$41,411,015",56.6%,"$53,919,478"
74,Kill Mobile,"$94,870,905",-,100%,"$94,870,905"
75,I Feel Pretty,"$94,539,426","$48,795,601",48.4%,"$45,743,825"
76,Blockers,"$94,017,294","$60,311,495",35.9%,"$33,705,799"
77,BlacKkKlansman,"$93,400,823","$49,275,340",47.2%,"$44,125,483"
78,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747"
79,Shadow,"$91,708,374","$521,396",99.4%,"$91,186,978"
80,Overboard,"$91,244,913","$50,316,123",44.9%,"$40,928,790"
81,Sherlock Gnomes,"$90,497,778","$43,242,871",52.2%,"$47,254,907"
82,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",99.7%,"$89,777,808"
83,"Hello, Mrs. Money","$86,874,070",-,100%,"$86,874,070"
84,Robin Hood,"$86,489,031","$30,824,628",64.4%,"$55,664,403"
85,I Can Only Imagine,"$86,086,881","$83,482,352",3%,"$2,604,529"
86,Hidden Man,"$85,170,581",-,100%,"$85,170,581"
87,Mortal Engines,"$83,672,673","$15,951,040",80.9%,"$67,721,633"
88,iPartment the Movie,"$81,096,321",-,100%,"$81,096,321"
89,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,100%,"$80,920,916"
90,Den of Thieves,"$80,509,622","$44,947,622",44.2%,"$35,562,000"
91,Hereditary,"$80,200,936","$44,069,456",45.1%,"$36,131,480"
92,Code Blue: The Movie,"$78,778,562",-,100%,"$78,778,562"
93,Tag,"$78,130,625","$54,730,625",29.9%,"$23,400,000"
94,Sanju,"$76,693,052","$7,909,317",89.7%,"$68,783,735"
95,Vice,"$76,073,488","$47,836,282",37.1%,"$28,237,206"
96,Widows,"$75,984,700","$42,402,632",44.2%,"$33,582,068"
97,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",34%,"$25,765,508"
98,Searching,"$75,462,037","$26,020,957",65.5%,"$49,441,080"
99,The Spy Who Dumped Me,"$75,320,680","$33,562,069",55.4%,"$41,758,611"
100,Animal World,"$74,922,830",-,100%,"$74,922,830"
101,Amazing China,"$72,506,343",-,100%,"$72,506,343"
102,Second Act,"$72,282,227","$39,282,227",45.7%,"$33,000,000"
103,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",98.3%,"$69,010,962"
104,Shoplifters,"$67,999,335","$3,313,513",95.1%,"$64,685,822"
105,12 Strong,"$67,450,815","$45,819,713",32.1%,"$21,631,102"
