Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",67.4%,"$657,179,821"
2,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846","$313,364,114",64.4%,"$567,475,732"
3,"Monsters, Inc.","$528,773,250","$255,873,250",51.6%,"$272,900,000"
4,Shrek,"$484,409,218","$267,665,011",44.7%,"$216,744,207"
5,Ocean's Eleven,"$450,717,150","$183,417,150",59.3%,"$267,300,000"
6,Pearl Harbor,"$449,220,945","$198,542,554",55.8%,"$250,678,391"
7,The Mummy Returns,"$433,013,274","$202,019,785",53.3%,"$230,993,489"
8,Jurassic Park III,"$368,780,809","$181,171,875",50.9%,"$187,608,934"
9,Planet of the Apes,"$362,211,740","$180,011,740",50.3%,"$182,200,000"
10,Hannibal,"$351,692,268","$165,092,268",53.1%,"$186,600,000"
11,Rush Hour 2,"$347,325,802","$226,164,286",34.9%,"$121,161,516"
12,A Beautiful Mind,"$313,542,341","$170,742,341",45.5%,"$142,800,000"
13,American Pie 2,"$287,553,595","$145,103,595",49.5%,"$142,450,000"
14,Bridget Jones's Diary,"$281,929,795","$71,543,427",74.6%,"$210,386,368"
15,Spirited Away,"$274,925,095","$10,055,859",96.3%,"$264,869,236"
16,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",52.3%,"$143,535,270"
17,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",66.7%,"$157,309,863"
18,The Others,"$209,947,037","$96,522,687",54%,"$113,424,350"
19,The Fast and the Furious,"$207,283,925","$144,533,925",30.3%,"$62,750,000"
20,Vanilla Sky,"$203,388,341","$100,618,344",50.5%,"$102,769,997"
21,Cats & Dogs,"$200,687,492","$93,385,515",53.5%,"$107,301,977"
22,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",54.8%,"$101,997,253"
23,Moulin Rouge!,"$179,213,434","$57,386,607",68%,"$121,826,827"
24,Dr. Dolittle 2,"$176,104,344","$112,952,899",35.9%,"$63,151,445"
25,Amélie,"$173,921,954","$33,225,499",80.9%,"$140,696,455"
26,Black Hawk Down,"$172,989,651","$108,638,745",37.2%,"$64,350,906"
27,The Princess Diaries,"$165,335,153","$108,248,956",34.5%,"$57,086,197"
28,Spy Kids,"$147,934,180","$112,719,001",23.8%,"$35,215,179"
29,The Mexican,"$147,845,033","$66,845,033",54.8%,"$81,000,000"
30,Swordfish,"$147,080,413","$69,772,969",52.6%,"$77,307,444"
