Rank,Release Group,Worldwide,Domestic,%,Foreign
31,Spy Game,"$143,049,560","$62,362,560",56.4%,"$80,687,000"
32,Legally Blonde,"$141,774,679","$96,520,674",31.9%,"$45,254,005"
33,Scary Movie 2,"$141,220,678","$71,308,997",49.5%,"$69,911,681"
34,Shallow Hal,"$141,069,860","$70,839,203",49.8%,"$70,230,657"
35,America's Sweethearts,"$138,307,673","$93,607,673",32.3%,"$44,700,000"
36,Save the Last Dance,"$131,706,809","$91,057,006",30.9%,"$40,649,803"
37,A Knight's Tale,"$117,487,473","$56,569,702",51.9%,"$60,917,771"
38,The Score,"$114,252,154","$71,107,711",37.8%,"$43,144,443"
39,Along Came a Spider,"$105,178,561","$74,078,174",29.6%,"$31,100,387"
40,Training Day,"$104,876,233","$76,631,907",26.9%,"$28,244,326"
41,Jimmy Neutron: Boy Genius,"$102,992,536","$80,936,232",21.4%,"$22,056,304"
42,Don't Say a Word,"$100,020,092","$55,001,642",45%,"$45,018,450"
43,Evolution,"$98,376,292","$38,345,494",61%,"$60,030,798"
44,I Am Sam,"$97,818,139","$40,311,852",58.8%,"$57,506,287"
45,Enemy at the Gates,"$96,976,270","$51,401,758",47%,"$45,574,512"
46,The Wedding Planner,"$94,728,529","$60,400,856",36.2%,"$34,327,673"
47,Behind Enemy Lines,"$91,753,202","$58,856,790",35.9%,"$32,896,412"
48,Gosford Park,"$87,754,044","$41,308,615",52.9%,"$46,445,429"
49,Ali,"$87,713,825","$58,203,105",33.6%,"$29,510,720"
50,Rat Race,"$85,498,534","$56,618,055",33.8%,"$28,880,479"
51,Final Fantasy: The Spirits Within,"$85,131,830","$32,131,830",62.3%,"$53,000,000"
52,The Animal,"$84,772,742","$57,743,062",31.9%,"$27,029,680"
53,Blow,"$83,282,296","$52,990,775",36.4%,"$30,291,521"
54,Exit Wounds,"$79,958,599","$51,758,599",35.3%,"$28,200,000"
55,Serendipity,"$77,516,304","$50,294,317",35.1%,"$27,221,987"
56,Kate & Leopold,"$76,019,048","$47,121,859",38%,"$28,897,189"
57,Der Schuh des Manitu,"$75,482,094",-,100%,"$75,482,094"
58,From Hell,"$74,558,115","$31,602,566",57.6%,"$42,955,549"
59,The One,"$72,689,126","$43,905,746",39.6%,"$28,783,380"
60,The Royal Tenenbaums,"$71,441,250","$52,364,010",26.7%,"$19,077,240"
61,Down to Earth,"$71,186,502","$64,186,502",9.8%,"$7,000,000"
62,Brotherhood of the Wolf,"$70,752,904","$11,260,096",84.1%,"$59,492,808"
63,Thir13en Ghosts,"$68,467,960","$41,867,960",38.9%,"$26,600,000"
64,Pokémon 3 the Movie: Spell of the Unown,"$68,411,275","$17,052,128",75.1%,"$51,359,147"
65,Bandits,"$67,631,903","$41,575,141",38.5%,"$26,056,762"
66,Not Another Teen Movie,"$66,468,332","$38,252,284",42.5%,"$28,216,048"
67,Sweet November,"$65,754,228","$25,288,103",61.5%,"$40,466,125"
68,K-PAX,"$65,001,485","$50,338,485",22.6%,"$14,663,000"
69,Kiss of the Dragon,"$64,437,847","$36,845,124",42.8%,"$27,592,723"
70,Captain Corelli's Mandolin,"$62,112,895","$25,543,895",58.9%,"$36,569,000"
71,Zoolander,"$60,780,981","$45,172,250",25.7%,"$15,608,731"
72,The Crimson Rivers,"$60,094,966","$594,966",99%,"$59,500,000"
73,Jeepers Creepers,"$59,217,789","$37,904,175",36%,"$21,313,614"
74,Heartbreakers,"$57,756,408","$40,336,607",30.2%,"$17,419,801"
75,15 Minutes,"$56,359,980","$24,403,552",56.7%,"$31,956,428"
76,Driven,"$54,744,738","$32,720,065",40.2%,"$22,024,673"
77,Domestic Disturbance,"$54,249,294","$45,246,095",16.6%,"$9,003,199"
78,The Closet,"$50,104,745","$6,678,894",86.7%,"$43,425,851"
79,Monster's Ball,"$44,909,486","$31,273,922",30.4%,"$13,635,564"
80,Recess: School's Out,"$44,460,850","$36,706,141",17.4%,"$7,754,709"
81,Hardball,"$44,102,389","$40,222,729",8.8%,"$3,879,660"
82,In the Bedroom,"$43,368,779","$35,930,604",17.2%,"$7,438,175"
83,See Spot Run,"$43,057,552","$33,357,476",22.5%,"$9,700,076"
84,Shaolin Soccer,"$42,776,760","$489,600",98.9%,"$42,287,160"
85,Black Knight,"$39,976,235","$33,426,971",16.4%,"$6,549,264"
86,Memento,"$39,723,096","$25,544,867",35.7%,"$14,178,229"
87,Crocodile Dundee in Los Angeles,"$39,438,674","$25,635,682",35%,"$13,802,992"
88,Haunted Castle,"$39,093,166","$13,651,656",65.1%,"$25,441,510"
89,Someone Like You,"$38,689,940","$27,343,067",29.3%,"$11,346,873"
90,What's the Worst That Could Happen?,"$38,464,131","$32,269,834",16.1%,"$6,194,297"
91,The Majestic,"$37,317,558","$27,807,266",25.5%,"$9,510,292"
92,Valentine,"$36,684,136","$20,384,136",44.4%,"$16,300,000"
93,Joy Ride,"$36,642,838","$21,974,919",40%,"$14,667,919"
94,Riding in Cars with Boys,"$35,743,308","$30,165,536",15.6%,"$5,577,772"
95,Original Sin,"$35,402,320","$16,534,221",53.3%,"$18,868,099"
96,Jay and Silent Bob Strike Back,"$33,788,161","$30,085,147",11%,"$3,703,014"
97,Y tu mamá también,"$33,616,692","$13,839,658",58.8%,"$19,777,034"
98,The Musketeer,"$32,533,802","$27,073,640",16.8%,"$5,460,162"
99,Double Take,"$31,603,059","$29,831,583",5.6%,"$1,771,476"
100,How High,"$31,283,740","$31,178,740",0.3%,"$105,000"
101,Beauty and the Beast 2000 IMAX Release,"$31,033,346","$25,487,190",17.9%,"$5,546,156"
102,Joe Dirt,"$30,987,695","$27,087,695",12.6%,"$3,900,000"
103,Hearts in Atlantis,"$30,919,415","$24,185,781",21.8%,"$6,733,634"
104,Monsoon Wedding,"$30,787,356","$13,885,966",54.9%,"$16,901,390"
105,Angel Eyes,"$29,715,606","$24,174,218",18.6%,"$5,541,388"
106,The Pledge,"$29,419,291","$19,733,089",32.9%,"$9,686,202"
107,Baby Boy,"$29,381,649","$28,734,552",2.2%,"$647,097"
108,Heist,"$28,510,652","$23,510,841",17.5%,"$4,999,811"
109,The Tailor of Panama,"$28,008,462","$13,729,742",51%,"$14,278,720"
110,The Brothers,"$27,958,191","$27,457,409",1.8%,"$500,782"
111,The Last Castle,"$27,642,707","$18,244,060",34%,"$9,398,647"
112,Saving Silverman,"$26,086,706","$19,402,030",25.6%,"$6,684,676"
113,Corky Romano,"$25,272,752","$23,980,304",5.1%,"$1,292,448"
114,The Shipping News,"$24,690,441","$11,434,216",53.7%,"$13,256,225"
115,Joe Somebody,"$24,516,772","$22,771,646",7.1%,"$1,745,126"
116,Nowhere in Africa,"$24,322,180","$6,180,200",74.6%,"$18,141,980"
117,Tanguy,"$24,272,365",-,100%,"$24,272,365"
118,Life as a House,"$23,903,791","$15,667,270",34.5%,"$8,236,521"
119,The Glass House,"$23,619,609","$18,150,259",23.2%,"$5,469,350"
120,Tomcats,"$23,430,766","$13,558,739",42.1%,"$9,872,027"
121,Kingdom Come,"$23,396,049","$23,249,649",0.6%,"$146,400"
122,Two Can Play That Game,"$22,391,450","$22,235,901",0.7%,"$155,549"
123,Winged Migration,"$21,493,351","$924,651",95.7%,"$20,568,700"
124,Amores perros,"$20,908,467","$5,408,467",74.1%,"$15,500,000"
125,Mulholland Drive,"$20,117,339","$7,220,243",64.1%,"$12,897,096"
126,Himalaya 2001 Re-release,"$19,960,881","$2,487,878",87.5%,"$17,473,003"
127,Crazy/Beautiful,"$19,937,988","$16,937,988",15%,"$3,000,000"
128,Get Over It,"$19,900,366","$11,576,464",41.8%,"$8,323,902"
129,Summer Catch,"$19,772,447","$19,753,553",<0.1%,"$18,894"
130,Shackleton's Antarctic Adventure,"$19,613,216","$15,553,324",20.7%,"$4,059,892"
131,Rock Star,"$19,334,145","$17,008,282",12%,"$2,325,863"
132,O,"$19,260,537","$16,025,437",16.8%,"$3,235,100"
133,The Man Who Wasn't There,"$18,916,623","$7,504,257",60.3%,"$11,412,366"
134,The Curse of the Jade Scorpion,"$18,914,307","$7,517,191",60.3%,"$11,397,116"
135,3000 Miles to Graceland,"$18,720,175","$15,749,959",15.9%,"$2,970,216"
136,Max Keeble's Big Move,"$18,634,654","$17,294,293",7.2%,"$1,340,361"
137,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","$18,623,382",-,100%,"$18,623,382"
138,Antitrust,"$18,195,610","$11,328,094",37.7%,"$6,867,516"
139,Jason X,"$16,951,798","$13,121,555",22.6%,"$3,830,243"
140,Sugar & Spice,"$16,908,947","$13,305,101",21.3%,"$3,603,846"
141,Just Visiting,"$16,176,732","$4,781,539",70.4%,"$11,395,193"
142,Iris,"$16,153,953","$5,594,617",65.4%,"$10,559,336"
143,Lantana,"$15,747,450","$4,623,189",70.6%,"$11,124,261"
144,Enigma 2001 Re-release,"$15,705,007","$4,301,582",72.6%,"$11,403,425"
145,With a Friend Like Harry...,"$15,472,186","$3,830,441",75.2%,"$11,641,745"
146,Brother,"$15,250,594","$450,594",97%,"$14,800,000"
147,Josie and the Pussycats,"$14,866,015","$14,271,015",4%,"$595,000"
148,Out Cold,"$14,782,676","$13,906,394",5.9%,"$876,282"
149,Iron Monkey,"$14,694,904","$14,694,904",-,-
150,Together,"$14,572,229","$1,034,829",92.9%,"$13,537,400"
151,Freddy Got Fingered,"$14,333,252","$14,254,993",0.5%,"$78,259"
152,Osmosis Jones,"$14,026,418","$13,596,911",3.1%,"$429,507"
153,Ghosts of Mars,"$14,010,832","$8,709,640",37.8%,"$5,301,192"
154,American Outlaws,"$13,678,913","$13,342,790",2.5%,"$336,123"
155,One Night at McCool's,"$13,473,370","$6,290,673",53.3%,"$7,182,697"
156,Vidocq,"$13,240,767",-,100%,"$13,240,767"
157,Head Over Heels,"$13,127,022","$10,424,470",20.6%,"$2,702,552"
158,Formula 51,"$12,881,605","$5,204,007",59.6%,"$7,677,598"
159,The Girl from Paris,"$12,812,396","$183,266",98.6%,"$12,629,130"
160,Apocalypse Now Redux,"$12,543,269","$4,626,290",63.1%,"$7,916,979"
161,Say It Isn't So,"$12,320,393","$5,520,393",55.2%,"$6,800,000"
162,The Son's Room,"$11,767,402","$1,016,340",91.4%,"$10,751,062"
163,Les rois mages,"$11,702,020",-,100%,"$11,702,020"
164,The Experiment,"$11,455,141",-,100%,"$11,455,141"
165,Kabhi Khushi Kabhie Gham...,"$11,329,690","$2,902,000",74.4%,"$8,427,690"
166,The Little Polar Bear,"$11,243,547",-,100%,"$11,243,547"
167,Special Edition: All About Inuyasha,"$10,539,779",-,100%,"$10,539,779"
168,Town & Country,"$10,372,291","$6,719,973",35.2%,"$3,652,318"
169,Wasabi,"$10,366,360","$97,220",99.1%,"$10,269,140"
170,The Wash,"$10,229,331","$10,097,538",1.3%,"$131,793"
171,Sexy Beast,"$10,045,677","$6,946,056",30.9%,"$3,099,621"
172,Girls on Top,"$10,038,662",-,100%,"$10,038,662"
173,The Deep End,"$10,031,529","$8,823,109",12%,"$1,208,420"
174,Mad Love,"$9,306,362","$280,046",97%,"$9,026,316"
175,Kandahar,"$8,914,751","$1,418,314",84.1%,"$7,496,437"
176,Son of the Bride,"$8,772,695","$624,757",92.9%,"$8,147,938"
177,Ghost World,"$8,764,007","$6,217,849",29.1%,"$2,546,158"
178,The Forsaken,"$8,704,851","$7,288,451",16.3%,"$1,416,400"
179,Tini: The New Life of Violetta,"$8,678,476",-,100%,"$8,678,476"
180,The Prince and the Pirate,"$8,579,972",-,100%,"$8,579,972"
181,Bones,"$8,378,853","$7,316,658",12.7%,"$1,062,195"
182,Merry Christmas,"$8,228,560",-,100%,"$8,228,560"
183,The Hole,"$7,644,361",-,100%,"$7,644,361"
184,Sex and Lucía,"$7,640,680","$1,594,779",79.1%,"$6,045,901"
185,Monkeybone,"$7,622,365","$5,411,999",29%,"$2,210,366"
186,Mean Machine,"$7,310,206","$92,770",98.7%,"$7,217,436"
187,The Slurb,"$6,854,681",-,100%,"$6,854,681"
188,China: The Panda Adventure,"$6,784,985","$3,921,642",42.2%,"$2,863,343"
189,The Road Home,"$6,780,490","$1,280,490",81.1%,"$5,500,000"
190,The Piano Teacher,"$6,749,315","$1,012,069",85%,"$5,737,246"
191,Under the Sand,"$6,531,687","$1,452,698",77.8%,"$5,078,989"
192,The Devil's Backbone,"$6,459,020","$755,249",88.3%,"$5,703,771"
193,Megiddo: The Omega Code 2,"$6,047,691","$6,047,691",-,-
194,Chaos,"$6,042,938",-,100%,"$6,042,938"
195,Tom Thumb,"$5,867,304",-,100%,"$5,867,304"
196,The Golden Bowl,"$5,753,678","$3,050,532",47%,"$2,703,146"
197,A Fish Tale,"$5,595,327","$563,911",89.9%,"$5,031,416"
198,Made,"$5,480,653","$5,313,300",3.1%,"$167,353"
199,Read My Lips,"$5,393,526","$1,471,911",72.7%,"$3,921,615"
200,Charlotte Gray,"$5,323,109","$741,394",86.1%,"$4,581,715"
