Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",77.8%,"$858,614,996"
2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",73.3%,"$700,900,000"
3,Guardians of the Galaxy,"$772,776,600","$333,176,600",56.9%,"$439,600,000"
4,Maleficent,"$758,410,378","$241,410,378",68.2%,"$517,000,000"
5,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",55.4%,"$418,220,826"
6,X-Men: Days of Future Past,"$746,045,700","$233,921,534",68.6%,"$512,124,166"
7,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",63.6%,"$454,654,931"
8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",70.7%,"$502,098,977"
9,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",71.4%,"$506,128,390"
10,Interstellar,"$677,896,797","$188,020,017",72.3%,"$489,876,780"
11,Big Hero 6,"$657,827,828","$222,527,828",66.2%,"$435,300,000"
12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",71.5%,"$444,534,595"
13,American Sniper,"$547,426,372","$350,126,372",36%,"$197,300,000"
14,Godzilla,"$524,976,069","$200,676,069",61.8%,"$324,300,000"
15,Rio 2,"$498,781,117","$131,538,435",73.6%,"$367,242,682"
16,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",60.6%,"$293,800,000"
17,The Lego Movie,"$468,060,692","$257,760,692",44.9%,"$210,300,000"
18,Lucy,"$458,863,600","$126,663,600",72.4%,"$332,200,000"
19,Penguins of Madagascar,"$373,515,621","$83,850,911",77.6%,"$289,664,710"
20,Edge of Tomorrow,"$370,541,256","$100,206,256",73%,"$270,335,000"
21,Gone Girl,"$369,330,363","$167,767,189",54.6%,"$201,563,174"
22,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",68.7%,"$249,458,014"
23,Noah,"$359,200,044","$101,200,044",71.8%,"$258,000,000"
24,The Maze Runner,"$348,319,861","$102,427,862",70.6%,"$245,891,999"
25,300: Rise of an Empire,"$337,580,051","$106,580,051",68.4%,"$231,000,000"
26,22 Jump Street,"$331,333,876","$191,719,337",42.1%,"$139,614,539"
27,The Fault in Our Stars,"$307,166,834","$124,872,350",59.3%,"$182,294,484"
28,Divergent,"$288,885,818","$150,947,895",47.7%,"$137,937,923"
29,Paddington,"$282,370,135","$76,271,832",73%,"$206,098,303"
30,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",59.6%,"$164,191,609"
31,Neighbors,"$270,665,134","$150,157,400",44.5%,"$120,507,734"
32,Exodus: Gods and Kings,"$268,175,631","$65,014,513",75.8%,"$203,161,118"
33,Annabelle,"$257,047,661","$84,273,813",67.2%,"$172,773,848"
34,Hercules,"$244,819,862","$72,688,614",70.3%,"$172,131,248"
35,RoboCop,"$242,688,965","$58,607,007",75.9%,"$184,081,958"
36,The Imitation Game,"$233,555,708","$91,125,683",61%,"$142,430,025"
37,Non-Stop,"$222,809,600","$92,168,600",58.6%,"$130,641,000"
38,Dracula Untold,"$217,124,280","$56,280,355",74.1%,"$160,843,925"
39,The Expendables 3,"$214,657,577","$39,322,544",81.7%,"$175,335,033"
40,Into the Woods,"$212,902,372","$128,002,372",39.9%,"$84,900,000"
41,Fury,"$211,817,906","$85,817,906",59.5%,"$126,000,000"
42,Need for Speed,"$203,277,636","$43,577,636",78.6%,"$159,700,000"
43,The Other Woman,"$196,710,396","$83,911,193",57.3%,"$112,799,203"
44,The Equalizer,"$192,330,738","$101,530,738",47.2%,"$90,800,000"
45,Breakup Buddies,"$189,017,596","$777,896",99.6%,"$188,239,700"
46,Stand by Me Doraemon,"$183,442,714",-,100%,"$183,442,714"
47,Serial (Bad) Weddings,"$176,404,493",-,100%,"$176,404,493"
48,The Monkey King Havoc in Heavens Palace,"$175,835,580",-,100%,"$175,835,580"
49,The Grand Budapest Hotel,"$172,936,941","$59,301,324",65.7%,"$113,635,617"
50,Dumb and Dumber to,"$169,837,010","$86,208,010",49.2%,"$83,629,000"
51,Into the Storm,"$161,502,194","$47,602,194",70.5%,"$113,900,000"
52,Unbroken,"$161,459,297","$115,637,895",28.4%,"$45,821,402"
53,The Monuments Men,"$155,641,650","$78,031,620",49.9%,"$77,610,030"
54,Ride Along,"$154,468,902","$134,938,200",12.6%,"$19,530,702"
55,Planes: Fire & Rescue,"$146,965,787","$59,165,787",59.7%,"$87,800,000"
56,The Taking of Tiger Mountain,"$141,654,055","$228,984",99.8%,"$141,425,071"
57,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",98.1%,"$135,752,447"
58,Let's Be Cops,"$138,224,951","$82,390,774",40.4%,"$55,834,177"
59,Annie,"$136,853,506","$85,911,262",37.2%,"$50,942,244"
60,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",62.7%,"$84,926,336"
61,Blended,"$127,994,610","$46,294,610",63.8%,"$81,700,000"
62,Sex Tape,"$126,069,509","$38,543,473",69.4%,"$87,526,036"
63,The Theory of Everything,"$123,726,688","$35,893,537",71%,"$87,833,151"
64,The Nut Job,"$120,885,527","$64,251,541",46.8%,"$56,633,986"
65,Pompeii,"$117,831,631","$23,219,748",80.3%,"$94,611,883"
66,Seventh Son,"$114,178,613","$17,223,265",84.9%,"$96,955,348"
67,The Purge: Anarchy,"$111,928,365","$71,962,800",35.7%,"$39,965,565"
68,"Dad, Where Are We Going?","$111,870,000",-,100%,"$111,870,000"
69,The Boxtrolls,"$108,255,770","$50,837,305",53%,"$57,418,465"
70,Horrible Bosses 2,"$107,645,357","$54,445,357",49.4%,"$53,200,000"
71,The Breakup Guru,"$106,980,263","$208,959",99.8%,"$106,771,304"
72,Ouija,"$103,590,271","$50,856,010",50.9%,"$52,734,261"
73,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",59%,"$60,874,496"
74,Transcendence,"$103,039,258","$23,022,309",77.7%,"$80,016,949"
75,Heaven Is for Real,"$101,888,019","$91,443,253",10.3%,"$10,444,766"
76,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149",33.5%,"$33,700,000"
77,Tammy,"$100,375,432","$84,525,432",15.8%,"$15,850,000"
78,PK,"$100,370,104","$10,616,104",89.4%,"$89,754,000"
79,The Continent,"$100,125,957",-,100%,"$100,125,957"
80,The Book of Life,"$99,783,556","$50,151,543",49.7%,"$49,632,013"
81,Ode to My Father,"$99,085,291","$2,300,121",97.7%,"$96,785,170"
82,Fleet of Time,"$94,244,191","$569,280",99.4%,"$93,674,911"
83,The Man from Macau,"$93,864,936",-,100%,"$93,864,936"
84,Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372",64.3%,"$58,432,590"
85,The Hundred-Foot Journey,"$89,514,453","$54,240,821",39.4%,"$35,273,632"
86,Deliver Us from Evil,"$87,937,815","$30,577,122",65.2%,"$57,360,693"
87,A Million Ways to Die in the West,"$87,189,756","$43,139,300",50.5%,"$44,050,456"
88,Step Up All in,"$86,165,646","$14,904,384",82.7%,"$71,261,262"
89,John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221"
90,The Judge,"$84,419,388","$47,119,388",44.2%,"$37,300,000"
91,Tiny Times 3.0,"$82,320,000",-,100%,"$82,320,000"
92,Gone with the Bullets,"$81,387,479",-,100%,"$81,387,479"
93,Muppets Most Wanted,"$80,383,113","$51,183,113",36.3%,"$29,200,000"
94,Spanish Affair,"$78,768,613",-,100%,"$78,768,613"
95,If I Stay,"$78,274,843","$50,474,843",35.5%,"$27,800,000"
96,Head Full of Honey,"$78,127,384",-,100%,"$78,127,384"
97,"I, Frankenstein","$76,801,179","$19,075,290",75.2%,"$57,725,889"
98,Crimson Peak,"$74,679,822","$31,090,320",58.4%,"$43,589,502"
99,My Old Classmate,"$73,052,128",-,100%,"$73,052,128"
100,The Bélier Family,"$72,751,538",-,100%,"$72,751,538"
101,Brick Mansions,"$71,416,730","$20,396,829",71.4%,"$51,019,901"
102,Son of God,"$70,829,270","$59,700,064",15.7%,"$11,129,206"
103,Think Like a Man Too,"$70,181,428","$65,182,182",7.1%,"$4,999,246"
104,Jersey Boys,"$67,647,013","$47,047,013",30.5%,"$20,600,000"
105,The Giver,"$66,980,456","$45,090,374",32.7%,"$21,890,082"
106,Selma,"$66,787,908","$52,076,908",22%,"$14,711,000"
107,Beijing Love Story,"$65,842,375","$428,318",99.3%,"$65,414,057"
108,The House That Never Dies,"$65,220,000",-,100%,"$65,220,000"
109,The Pirates,"$64,858,224","$415,775",99.4%,"$64,442,449"
110,God's Not Dead,"$64,667,874","$60,755,732",6%,"$3,912,142"
111,The Pirate Fairy,"$63,998,725",-,100%,"$63,998,725"
112,The Inbetweeners 2,"$63,852,235",-,100%,"$63,852,235"
113,Begin Again,"$63,464,861","$16,170,632",74.5%,"$47,294,229"
114,The White Haired Witch of Lunar Kingdom,"$62,515,046",-,100%,"$62,515,046"
115,The Walk,"$61,181,942","$10,137,502",83.4%,"$51,044,440"
116,Miss Granny,"$58,940,254",-,100%,"$58,940,254"
117,A Walk Among the Tombstones,"$58,834,384","$26,307,600",55.3%,"$32,526,784"
118,Dolphin Tale 2,"$57,824,533","$42,024,533",27.3%,"$15,800,000"
119,St. Vincent,"$54,837,234","$44,137,712",19.5%,"$10,699,522"
120,No Good Deed,"$54,323,210","$52,543,632",3.3%,"$1,779,578"
121,Overheard 3,"$53,493,428",-,100%,"$53,493,428"
122,Supercondriaque,"$53,425,036",-,100%,"$53,425,036"
123,3 Days to Kill,"$53,260,230","$30,697,999",42.4%,"$22,562,231"
124,Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",-,100%,"$52,696,176"
125,Wild,"$52,501,541","$37,880,356",27.8%,"$14,621,185"
126,Magic in the Moonlight,"$51,029,361","$10,539,326",79.3%,"$40,490,035"
127,About Last Night,"$50,445,860","$48,637,684",3.6%,"$1,808,176"
128,Dearest 2014 Re-release,"$50,000,583",-,100%,"$50,000,583"
129,Whiplash,"$48,982,041","$13,092,000",73.3%,"$35,890,041"
130,Chef,"$48,428,048","$31,424,003",35.1%,"$17,004,045"
131,Boyhood,"$48,137,666","$25,352,281",47.3%,"$22,785,385"
132,Coming Home,"$47,587,984","$377,607",99.2%,"$47,210,377"
133,Beauty and the Beast,"$47,430,624",-,100%,"$47,430,624"
134,Nightcrawler,"$47,398,992","$32,381,217",31.7%,"$15,017,775"
135,Earth to Echo,"$45,681,062","$38,934,842",14.8%,"$6,746,220"
136,That Awkward Moment,"$45,640,143","$26,068,955",42.9%,"$19,571,188"
137,Love on the Cloud,"$45,386,560","$271,734",99.4%,"$45,114,826"
138,Oculus,"$44,446,287","$27,695,246",37.7%,"$16,751,041"
139,The Great Hypnotist,"$44,077,818",-,100%,"$44,077,818"
140,Kick,"$43,996,483","$2,472,695",94.4%,"$41,523,788"
141,Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,100%,"$42,830,578"
142,Thermae Romae II,"$42,473,163",-,100%,"$42,473,163"
143,Bang Bang,"$42,045,981","$2,546,172",93.9%,"$39,499,809"
144,Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,100%,"$42,028,116"
145,Rurouni Kenshin: The Legend Ends,"$41,900,000",-,100%,"$41,900,000"
146,"As Above, So Below","$41,898,409","$21,321,100",49.1%,"$20,577,309"
147,This Is Where I Leave You,"$41,296,320","$34,296,320",17%,"$7,000,000"
