Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Eight Hundred,"$461,421,559","$372,755",99.9%,"$461,048,804"
2,Demon Slayer: Mugen Train,"$452,974,619","$47,700,000",89.5%,"$405,274,619"
3,Bad Boys for Life,"$426,505,244","$206,305,244",51.6%,"$220,200,000"
4,"My People, My Homeland","$422,390,820",-,100%,"$422,390,820"
5,Tenet,"$363,656,624","$58,456,624",83.9%,"$305,200,000"
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",53.4%,"$170,741,018"
7,Dolittle,"$245,438,444","$77,047,065",68.6%,"$168,391,379"
8,Legend of Deification,"$240,663,149","$214,670",99.9%,"$240,448,479"
9,A Little Red Flower,"$216,000,000",-,100%,"$216,000,000"
10,The Croods: A New Age,"$215,905,815","$58,568,815",72.9%,"$157,337,000"
11,Birds of Prey,"$201,858,461","$84,158,461",58.3%,"$117,700,000"
12,Shock Wave 2,"$198,921,659",-,100%,"$198,921,659"
13,Wonder Woman 1984,"$166,534,027","$46,534,027",72.1%,"$120,000,000"
14,The Sacrifice,"$161,047,608",-,100%,"$161,047,608"
15,The Invisible Man,"$143,151,000","$70,410,000",50.8%,"$72,741,000"
16,Onward,"$141,940,042","$61,555,145",56.6%,"$80,384,897"
17,Warm Hug,"$129,240,236",-,100%,"$129,240,236"
18,Soul,"$120,957,731",-,100%,"$120,957,731"
19,The Call of the Wild,"$111,105,497","$62,342,368",43.9%,"$48,763,129"
20,Caught in Time,"$80,543,319",-,100%,"$80,543,319"
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,100%,"$68,000,000"
22,Mulan,"$66,800,000",-,100%,"$66,800,000"
23,Stand by Me Doraemon 2,"$65,066,630",-,100%,"$65,066,630"
24,The Rescue,"$64,104,658","$18,797",100%,"$64,085,861"
25,Love You Forever,"$60,670,799",-,100%,"$60,670,799"
26,Greenland,"$52,300,000",-,100%,"$52,300,000"
27,Tolo Tolo,"$52,186,426",-,100%,"$52,186,426"
28,Vanguard,"$50,866,901","$793,525",98.4%,"$50,073,376"
29,The New Mutants,"$49,169,594","$23,852,659",51.5%,"$25,316,935"
30,Fantasy Island,"$48,811,343","$27,309,289",44.1%,"$21,502,054"
31,After We Collided,"$47,990,414","$2,386,483",95%,"$45,603,931"
32,"From Today, It's My Turn: The Movie","$47,866,854",-,100%,"$47,866,854"
33,Trolls World Tour,"$47,217,253",-,100%,"$47,217,253"
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,100%,"$45,221,814"
35,Unhinged,"$44,331,465","$20,831,465",53%,"$23,500,000"
36,The End of Endless Love,"$43,950,000",-,100%,"$43,950,000"
37,Peninsula,"$42,698,327","$1,231,407",97.1%,"$41,466,920"
38,Monster Hunter,"$42,145,959","$15,162,470",64%,"$26,983,489"
39,Underwater,"$40,882,928","$17,291,078",57.7%,"$23,591,850"
40,The War with Grandpa,"$40,753,513","$21,277,892",47.8%,"$19,475,621"
41,Sarileru Neekevvaru,"$37,389,889","$821,000",97.8%,"$36,568,889"
42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,100%,"$36,747,486"
43,The Confidence Man JP: Princess,"$36,109,913",-,100%,"$36,109,913"
44,The Man Standing Next,"$34,664,900","$113,527",99.7%,"$34,551,373"
45,My Mom is a Character 3,"$34,360,029",-,100%,"$34,360,029"
46,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,100%,"$33,942,341"
47,Deliver Us from Evil,"$33,718,703",-,100%,"$33,718,703"
48,Bloodshot,"$33,542,457","$12,561,824",62.5%,"$20,980,633"
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,100%,"$31,501,815"
50,Honest Thief,"$31,354,158","$14,163,574",54.8%,"$17,190,584"
51,Like a Boss,"$30,399,490","$22,169,514",27.1%,"$8,229,976"
52,Bath Buddy,"$28,700,000",-,100%,"$28,700,000"
53,Ala Vaikunthapurramuloo,"$28,477,890",-,100%,"$28,477,890"
54,The Witches,"$26,900,000",-,100%,"$26,900,000"
55,Emma.,"$26,404,660","$10,055,355",61.9%,"$16,349,305"
56,Leap,"$25,818,882","$83,074",99.7%,"$25,735,808"
57,Scoob!,"$25,750,000","$850,000",96.7%,"$24,900,000"
58,The Father,"$24,290,579","$2,122,771",91.3%,"$22,167,808"
59,Interstellar 2020 Re-release,"$23,771,122",-,100%,"$23,771,122"
60,Gretel & Hansel,"$22,051,055","$15,347,654",30.4%,"$6,703,401"
61,Poupelle of Chimney Town,"$21,830,600",-,100%,"$21,830,600"
62,Stigmatized Properties,"$21,276,720",-,100%,"$21,276,720"
63,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,100%,"$21,097,921"
64,The Photograph,"$20,690,779","$20,578,185",0.5%,"$112,594"
65,Yarn,"$20,474,270",-,100%,"$20,474,270"
66,Violet Evergarden: The Movie,"$20,339,624",-,100%,"$20,339,624"
67,Brahms: The Boy II,"$20,311,536","$12,611,536",37.9%,"$7,700,000"
68,Ice 2,"$19,788,995",-,100%,"$19,788,995"
69,Soul Snatcher,"$19,561,221",-,100%,"$19,561,221"
70,The Turning,"$19,428,166","$15,472,775",20.4%,"$3,955,391"
71,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",99%,"$19,052,497"
72,Takizawa Enbujo Zero,"$18,091,395",-,100%,"$18,091,395"
73,The Promised Neverland,"$17,698,106",-,100%,"$17,698,106"
74,Kaiji: Final Game,"$17,645,779",-,100%,"$17,645,779"
75,Hitman: Agent Jun,"$17,601,351",-,100%,"$17,601,351"
76,Promising Young Woman,"$17,122,775","$6,460,965",62.3%,"$10,661,810"
77,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,100%,"$17,068,434"
78,Bye Bye Morons,"$16,955,173",-,100%,"$16,955,173"
79,Baaghi 3,"$16,726,510","$721,439",95.7%,"$16,005,071"
80,I Still Believe,"$16,064,280","$9,868,521",38.6%,"$6,195,759"
81,Freaky,"$15,920,855","$9,030,855",43.3%,"$6,890,000"
82,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,100%,"$15,373,181"
83,The Way Back,"$14,690,514","$13,590,514",7.5%,"$1,100,000"
84,The Personal History of David Copperfield,"$14,399,270","$1,876,298",87%,"$12,522,972"
85,Nightlife,"$14,308,789",-,100%,"$14,308,789"
86,Pawn,"$14,193,957",-,100%,"$14,193,957"
87,#Alive,"$13,432,212",-,100%,"$13,432,212"
88,Howling Village,"$13,394,556",-,100%,"$13,394,556"
89,Come Play,"$13,182,254","$10,475,990",20.5%,"$2,706,264"
90,Samjin Company English Class,"$12,761,386",-,100%,"$12,761,386"
91,News of the World,"$12,668,325","$12,668,325",-,-
92,Collectors,"$12,640,113",-,100%,"$12,640,113"
93,Another Round,"$12,423,210",-,100%,"$12,423,210"
94,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,234,291",-,100%,"$12,234,291"
95,Ducobu 3,"$12,157,793",-,100%,"$12,157,793"
96,Legend No. 17,"$11,811,335",-,100%,"$11,811,335"
97,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,100%,"$11,702,371"
98,Let Him Go,"$11,630,934","$9,358,025",19.5%,"$2,272,909"
99,The Hunt,"$11,481,750","$5,812,500",49.4%,"$5,669,250"
100,The Voice of Sin,"$10,983,063",-,100%,"$10,983,063"
101,30 jours max,"$10,971,941",-,100%,"$10,971,941"
102,Bigfoot Family,"$10,806,405",-,100%,"$10,806,405"
103,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,100%,"$10,779,891"
104,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",-,-
105,One Second,"$10,600,000",-,100%,"$10,600,000"
106,Honest Candidate,"$10,597,464",-,100%,"$10,597,464"
107,Street Dancer 3D,"$10,339,127",-,100%,"$10,339,127"
108,My Spy,"$10,200,000",-,100%,"$10,200,000"
109,The Asadas,"$10,066,797",-,100%,"$10,066,797"
110,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",95.4%,"$9,588,094"
111,Stolen Identity 2,"$9,687,188",-,100%,"$9,687,188"
112,10 Days with Dad,"$9,472,077","$2,359",100%,"$9,469,718"
113,365 Days,"$9,458,590",-,100%,"$9,458,590"
114,Secret Zoo,"$9,457,317",-,100%,"$9,457,317"
115,Okay Madam,"$9,433,525",-,100%,"$9,433,525"
116,L'appel de la forêt,"$9,317,347",-,100%,"$9,317,347"
117,100% Wolf,"$9,109,328","$658,764",92.8%,"$8,450,564"
118,Inception 10th Anniversary re-release,"$9,100,000",-,100%,"$9,100,000"
119,Malasaña 32,"$8,968,845",-,100%,"$8,968,845"
120,Break the Silence: The Movie,"$8,954,345",-,100%,"$8,954,345"
121,The Closet,"$8,948,595",-,100%,"$8,948,595"
122,I Hate Summer,"$8,926,071",-,100%,"$8,926,071"
123,Downhill,"$8,899,195","$8,287,061",6.9%,"$612,134"
124,Les blagues de Toto,"$8,859,185",-,100%,"$8,859,185"
125,The Secret Garden,"$8,721,243",-,100%,"$8,721,243"
126,Eltilerin Savasi,"$8,613,864",-,100%,"$8,613,864"
127,Malang,"$8,399,765",-,100%,"$8,399,765"
128,Your Eyes Tell,"$8,020,474",-,100%,"$8,020,474"
129,AI Amok,"$7,932,191",-,100%,"$7,932,191"
130,The Lost Prince,"$7,837,980",-,100%,"$7,837,980"
131,Antoinette dans les Cévennes,"$7,831,007",-,100%,"$7,831,007"
132,The Marriage Escape,"$7,760,946",-,100%,"$7,760,946"
133,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,100%,"$7,732,435"
134,Neposredstvenno Kakha,"$7,692,780",-,100%,"$7,692,780"
135,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,100%,"$7,673,207"
136,The Heist of the Century,"$7,627,100",-,100%,"$7,627,100"
137,Fukushima 50,"$7,494,243",-,100%,"$7,494,243"
138,De Gaulle,"$7,466,866",-,100%,"$7,466,866"
139,Bohemian Rhapsody 2020 Re-release,"$7,445,468","$240,000",96.8%,"$7,205,468"
140,"Turu, the Wacky Hen","$7,416,960",-,100%,"$7,416,960"
141,Two by Two: Overboard!,"$7,410,745",-,100%,"$7,410,745"
142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,678",-,100%,"$7,209,678"
143,The (UN)perfect Guy,"$7,154,649",-,100%,"$7,154,649"
144,Back to the Wharf,"$7,090,000",-,100%,"$7,090,000"
145,Adu,"$7,085,946",-,100%,"$7,085,946"
146,Antebellum,"$7,060,384",-,100%,"$7,060,384"
147,The Best Years,"$7,058,315",-,100%,"$7,058,315"
148,Fatale,"$7,031,289","$6,306,897",10.3%,"$724,392"
149,Spycies,"$7,030,092",-,100%,"$7,030,092"
150,Jim Button and the Wild 13,"$6,923,907",-,100%,"$6,923,907"
151,Psy 3: W imie zasad,"$6,725,146",-,100%,"$6,725,146"
152,Blood Moon Party,"$6,709,383",-,100%,"$6,709,383"
153,Innocence,"$6,659,968",-,100%,"$6,659,968"
154,Dragon Rider,"$6,648,478",-,100%,"$6,648,478"
155,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,100%,"$6,574,905"
156,Chhapaak,"$6,532,100","$604,334",90.7%,"$5,927,766"
157,"Love Me, Love Me Not","$6,494,241",-,100%,"$6,494,241"
158,Hammamet,"$6,434,874",-,100%,"$6,434,874"
159,Lindenberg! Mach dein Ding,"$6,404,964",-,100%,"$6,404,964"
160,Midnight Swan,"$6,397,065",-,100%,"$6,397,065"
161,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,100%,"$6,395,525"
162,Simply Black,"$6,323,750",-,100%,"$6,323,750"
163,My Boyfriend's Meds,"$6,292,780","$2,971,116",52.8%,"$3,321,664"
164,Bill & Ted Face the Music,"$6,274,027","$3,439,660",45.2%,"$2,834,367"
165,Hotel Belgrade,"$6,199,413",-,100%,"$6,199,413"
166,How to Be a Good Wife,"$6,043,564",-,100%,"$6,043,564"
167,The Legacy Of Dr. Death: Black File,"$6,024,046",-,100%,"$6,024,046"
168,The Rhythm Section,"$5,989,583","$5,437,971",9.2%,"$551,612"
169,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,100%,"$5,975,729"
170,The Lion King 2020 Re-release,"$5,948,352",-,100%,"$5,948,352"
171,Twiceborn,"$5,880,157","$11,527",99.8%,"$5,868,630"
172,The Royal Bride,"$5,830,719",-,100%,"$5,830,719"
173,Beasts Clawing at Straws,"$5,796,059",-,100%,"$5,796,059"
174,Last Letter,"$5,663,972",-,100%,"$5,663,972"
175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,100%,"$5,624,218"
176,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",13.9%,"$781,193"
177,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,100%,"$5,543,147"
178,Mama Weed,"$5,462,095","$29,151",99.5%,"$5,432,944"
179,Divorce Club,"$5,316,313",-,100%,"$5,316,313"
180,Cindy La Regia,"$5,222,322",-,100%,"$5,222,322"
181,Run,"$5,184,368",-,100%,"$5,184,368"
182,Love Aaj Kal,"$5,120,794",-,100%,"$5,120,794"
183,Masked Ward,"$5,106,794",-,100%,"$5,106,794"
184,Ayyappanum Koshiyum,"$5,088,713",-,100%,"$5,088,713"
185,Baba Parasi,"$5,084,342",-,100%,"$5,084,342"
186,Die Känguru-Chroniken,"$5,081,127",-,100%,"$5,081,127"
187,The Real Exorcist,"$5,035,830",-,100%,"$5,035,830"
188,Mayday,"$5,011,408",-,100%,"$5,011,408"
189,Bheeshma,"$4,997,080",-,100%,"$4,997,080"
190,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,100%,"$4,971,635"
191,Godai - The Wunderkind,"$4,948,225",-,100%,"$4,948,225"
192,Military Wives,"$4,889,252",-,100%,"$4,889,252"
193,Panga,"$4,886,124","$582,720",88.1%,"$4,303,404"
194,The Tales for Old and Young,"$4,853,143",-,100%,"$4,853,143"
195,Streltsov,"$4,850,073",-,100%,"$4,850,073"
196,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",-,-
197,The Empty Man,"$4,796,993","$2,992,948",37.6%,"$1,804,045"
198,The Vets,"$4,788,826",-,100%,"$4,788,826"
199,The Broken Hearts Gallery,"$4,781,389","$4,067,442",14.9%,"$713,947"
200,Gladiator 20th Anniversary,"$4,780,585",-,100%,"$4,780,585"
